24,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
NB,NB,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Indicator Hole Dia,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,Gasket thk,rf thk,FF Bolt Len,RF Bolt Len
0+1/2,15,16,51,65,6.4,38,4,With Optional Raised Face,12,15.875,0.19,0.1,0.09,PADDLE BLANK,PADDLE SPACER,0+1/2,14,65,75,3.3,2,75,80
0+3/4,20,21,64,80,6.4,38,4,With Optional Raised Face,12,19.05,0.31,0.16,0.14,PADDLE BLANK,PADDLE SPACER,0+5/8,16,75,90,3.3,2,85,90
1,25,27,70,90,6.4,38,4,With Optional Raised Face,12,19.05,0.36,0.19,0.16,PADDLE BLANK,PADDLE SPACER,0+5/8,16,75,90,3.3,2,85,90
1+1/4,32,42,79,100,6.4,38,4,With Optional Raised Face,12,19.05,0.43,0.25,0.17,PADDLE BLANK,PADDLE SPACER,0+5/8,16,85,95,3.3,2,95,100
1+1/2,40,48,92,115,6.4,38,4,With Optional Raised Face,12,22.225,0.58,0.34,0.24,PADDLE BLANK,PADDLE SPACER,0+3/4,20,90,100,3.3,2,100,105
2,50,61,108,125,9.7,51,5,With Optional Raised Face,12,19.05,1.19,0.71,0.48,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,100,3.3,2,105,110
2+1/2,65,73,127,150,9.7,51,5,With Optional Raised Face,12,22.225,1.64,0.98,0.65,PADDLE BLANK,PADDLE SPACER,0+3/4,20,100,115,3.3,2,115,120
3,80,89,146,170,9.7,64,5,With Optional Raised Face,12,22.225,2.11,1.29,0.81,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,120,3.3,2,125,130
3+1/2,90,102,162,185,12.7,64,7,With Optional Raised Face,12,22.225,3.35,2.09,1.26,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,125,3.3,2,130,135
4,100,114,178,200,12.7,64,7,With Optional Raised Face,12,22.225,4.01,2.52,1.49,PADDLE BLANK,PADDLE SPACER,0+3/4,20,115,125,3.3,2,135,140
5,130,141,213,235,15.7,76,8,With Optional Raised Face,12,22.225,6.98,4.47,2.51,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,135,3.3,2,140,145
6,150,168,248,270,15.7,76,8,With Optional Raised Face,12,22.225,9.34,6.06,3.28,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,140,3.3,2,140,145
8,200,219,305,330,22.4,76,17,With Optional Raised Face,12,25.4,19.42,13.08,6.33,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,150,3.3,2,170,170
10,250,273,359,385,25.4,102,20,With Optional Raised Face,12,28.575,29.22,20.55,8.66,PADDLE BLANK,PADDLE SPACER,1,27,160,170,3.3,2,190,195
12,300,324,419,450,28.4,102,22,With Optional Raised Face,12,31.75,43.9,31.31,12.58,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,185,3.3,2,205,210
14,350,356,483,515,31.8,108,24,With Optional Raised Face,12,31.75,67.86,46.58,21.27,PADDLE BLANK,PADDLE SPACER,1+1/8,30,180,190,3.3,2,220,220
16,400,406,536,570,38.1,108,29,With Optional Raised Face,12,34.925,98.04,68.74,29.3,PADDLE BLANK,PADDLE SPACER,1+1/4,33,190,205,3.3,2,235,240
18,450,457,594,630,41.1,114,31,With Optional Raised Face,12,34.925,128.23,91.06,37.16,PADDLE BLANK,PADDLE SPACER,1+1/4,33,195,210,3.3,2,240,245
20,500,508,651,685,44.5,121,34,With Optional Raised Face,12,34.925,164.75,118.43,46.31,PADDLE BLANK,PADDLE SPACER,1+1/4,33,205,220,3.3,2,255,260
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,610,772,810,50.8,140,39,With Optional Raised Face,12,41.275,261.55,190.13,71.42,PADDLE BLANK,PADDLE SPACER,1+1/2,39,230,255,3.3,2,285,290
