24,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,Gasket thk,RF Thk,FF Bolt Len,RF Bolt Len
0+1/2,15,0.62,2.38,3.25,0.25,1.5,0.15,Optional Raised Face,0.5,0.875,0.28,0.14,0.13,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.25,0.13,0.25,4.75,5.25
0+3/4,20,0.82,2.62,3.5,0.38,1.62,0.19,Optional Raised Face,0.5,0.875,0.52,0.27,0.24,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.5,4.5,0.13,0.25,5.25,5.75
1,25,1.05,3,4,0.38,2.2,0.19,Optional Raised Face,0.5,1,0.65,0.35,0.3,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,0.13,0.25,5.75,6.25
1+1/4,32,1.38,3.38,4.38,0.38,2.5,0.19,Optional Raised Face,0.5,1,0.82,0.45,0.37,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5,5,0.13,0.25,5.75,6.25
1+1/2,40,1.61,3.75,4.88,0.5,2.75,0.27,Optional Raised Face,0.5,1.125,1.3,0.71,0.58,PADDLE BLANK,PADDLE SPACER,1,27,5.5,5.5,0.13,0.25,6.25,6.75
2,50,2.07,5.5,6.5,0.5,2.75,0.27,Optional Raised Face,0.5,1,2.9,1.56,1.33,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,0.13,0.25,6.5,7
2+1/2,65,2.47,6.38,7.5,0.62,3,0.31,Optional Raised Face,0.5,1.125,4.78,2.58,2.19,PADDLE BLANK,PADDLE SPACER,1,27,6.25,6.25,0.13,0.25,7.25,7.75
3,80,3.07,6.75,8,0.75,3,0.39,Optional Raised Face,0.5,1.25,6.36,3.54,2.81,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7,7,0.13,0.25,8,8.5
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,4.03,8.12,9.5,0.88,3.5,0.47,Optional Raised Face,0.5,1.375,10.47,5.96,4.5,PADDLE BLANK,PADDLE SPACER,1+1/4,33,7.75,7.75,0.13,0.25,9,9.5
5,130,5.05,9.88,11.5,1.12,3.5,0.59,Optional Raised Face,0.5,1.625,19.55,11.23,8.31,PADDLE BLANK,PADDLE SPACER,1+1/2,39,9.75,9.75,0.13,0.25,11.25,11.75
6,150,6.06,11,12.5,1.38,3.5,0.71,Optional Raised Face,0.5,1.5,29.08,17.15,11.93,PADDLE BLANK,PADDLE SPACER,1+3/8,36,10.25,10.5,0.13,0.25,12,12.5
8,200,7.98,13.75,15.5,1.62,4,1.22,Optional Raised Face,0.5,1.75,52.23,31.43,20.8,PADDLE BLANK,PADDLE SPACER,1+5/8,42,11.5,12.75,0.13,0.25,13.5,14
10,250,10.02,17,19,2,4.5,1.53,Optional Raised Face,0.5,2,98.33,59.53,38.79,PADDLE BLANK,PADDLE SPACER,1+7/8,48,13.25,13.5,0.13,0.25,15.5,16
12,300,11.94,20.38,22.5,2.38,4.5,1.81,Optional Raised Face,0.5,2.125,169.01,101.94,67.06,PADDLE BLANK,PADDLE SPACER,2,52,14.75,15.25,0.13,0.25,17.5,18
14,350,13.12,22.62,25,2.62,5,1.97,Optional Raised Face,0.5,2.375,229.84,138.07,91.76,PADDLE BLANK,PADDLE SPACER,2+1/4,56,16,16.75,0.13,0.25,19,19.5
16,400,15,25.12,27.75,3,5.25,2.28,Optional Raised Face,0.5,2.625,320.1,194.78,125.32,PADDLE BLANK,PADDLE SPACER,2+1/2,64,17.5,18.5,0.13,0.25,20.75,21.25
18,450,16.88,27.62,30.5,3.38,5.75,2.56,Optional Raised Face,0.5,2.875,432.4,265.84,166.56,PADDLE BLANK,PADDLE SPACER,2+3/4,70,19.5,20.75,0.13,0.25,23.25,23.75
20,500,18.81,29.62,32.75,3.75,6,2.83,Optional Raised Face,0.5,3.125,540.14,338.44,201.7,PADDLE BLANK,PADDLE SPACER,3,76,21.25,22.25,0.13,0.25,25.25,25.75
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,22.62,35.38,39,4.38,7,3.3,Optional Raised Face,0.5,3.625,898.71,564.9,333.8,PADDLE BLANK,PADDLE SPACER,3+1/2,90,24.25,25.5,0.13,0.25,29,29.5
