22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,gap,sb len
0+1/2,15,0.84,2,2.62,0.75,1.5,0.39,Optional Raised Face,0.5,0.625,0.57,0.31,0.25,PADDLE BLANK,PADDLE SPACER,0+1/2,14,3,3,0.12,4
0+3/4,20,1.05,2.5,3.25,0.88,1.75,0.47,Optional Raised Face,0.5,0.75,1.04,0.57,0.47,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,3.5,0.16,4.75
1,25,1.32,2.75,3.5,0.88,2,0.47,Optional Raised Face,0.5,0.75,1.21,0.68,0.52,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,3.5,0.16,4.75
1+1/4,32,1.66,3.12,3.88,0.88,2,0.47,Optional Raised Face,0.5,0.75,1.5,0.87,0.62,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.75,3.75,0.16,5
1+1/2,40,1.9,3.56,4.5,0.88,2.25,0.47,Optional Raised Face,0.5,0.875,1.95,1.13,0.81,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.25,0.16,5.5
2,50,2.38,4.25,5,1.12,2.25,0.59,Optional Raised Face,0.5,0.75,3.49,2.08,1.41,PADDLE BLANK,PADDLE SPACER,0+5/8,16,4.25,4.25,0.19,5.75
2+1/2,65,2.88,5,5.88,1.25,2.25,0.63,Optional Raised Face,0.5,0.875,5.37,3.22,2.15,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.75,4.75,0.19,6.25
3,80,3.5,5.75,6.62,1.25,2.25,0.63,Optional Raised Face,0.5,0.875,6.93,4.25,2.67,PADDLE BLANK,PADDLE SPACER,0+3/4,20,5,5,0.19,6.5
3+1/2,90,4,6.25,7.25,1.38,2.5,0.71,Optional Raised Face,0.5,1,8.85,5.57,3.27,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.5,5.5,0.19,7.25
4,100,4.5,6.88,8.5,1.38,2.5,0.71,Optional Raised Face,0.5,1,10.63,6.75,3.88,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,0.19,7.5
5,130,5.56,8.25,10.5,1.5,2.75,0.78,Optional Raised Face,0.5,1.125,16.34,10.55,5.79,PADDLE BLANK,PADDLE SPACER,1,27,6.5,6.5,0.19,8.25
6,150,6.62,9.5,11.5,1.75,3.25,0.9,Optional Raised Face,0.5,1.125,24.57,16.23,8.34,PADDLE BLANK,PADDLE SPACER,1,27,6.75,6.75,0.19,8.75
8,200,8.62,11.88,13.75,2,3.75,1.53,Optional Raised Face,0.5,1.25,42.89,29.09,13.79,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7.5,7.75,0.19,10
10,250,10.75,14,17,2.25,4,1.69,Optional Raised Face,0.5,1.375,64.27,45.52,18.75,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8.5,8.5,0.19,11
12,300,12.75,16.25,19.25,2.5,4.75,1.89,Optional Raised Face,0.5,1.375,94.17,68.01,26.15,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8.75,8.75,0.19,11.5
14,350,14,18,20.75,2.62,5,1.97,Optional Raised Face,0.5,1.5,121.51,87.21,34.29,PADDLE BLANK,PADDLE SPACER,1+3/8,36,9.25,9.25,0.19,12.25
16,400,16,20,23.75,2.88,5,2.16,Optional Raised Face,0.5,1.625,161.48,118.63,42.85,PADDLE BLANK,PADDLE SPACER,1+1/2,39,10,10,0.19,13.25
18,450,18,22.62,25.75,3.12,5,2.36,Optional Raised Face,0.5,1.75,225.01,164.44,60.56,PADDLE BLANK,PADDLE SPACER,1+5/8,42,10.75,10.75,0.19,14.25
20,500,20,25,28.5,3.5,5,2.63,Optional Raised Face,0.5,1.75,306.15,225.11,81.04,PADDLE BLANK,PADDLE SPACER,1+5/8,42,11.25,11.5,0.19,15.25
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,29.5,33,4.12,6,3.11,Optional Raised Face,0.5,2,492.6,368.51,124.08,PADDLE BLANK,PADDLE SPACER,1+7/8,48,13,13.25,0.22,17.75
