22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
NB,NB,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,dist betwn flgs,sb len
0+1/2,15,21,61,80,22.4,38,12,Optional Raised Face,12,22.225,0.98,0.52,0.46,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,110,4,140
0+3/4,20,27,67,90,22.4,45,12,Optional Raised Face,12,22.225,1.16,0.63,0.52,PADDLE BLANK,PADDLE SPACER,0+3/4,20,115,115,4,145
1,25,34,71,100,22.4,51,12,Optional Raised Face,12,25.4,1.25,0.7,0.54,PADDLE BLANK,PADDLE SPACER,0+7/8,24,125,125,4,155
1+1/4,32,42,81,110,25.4,51,13,Optional Raised Face,12,25.4,1.81,1.04,0.76,PADDLE BLANK,PADDLE SPACER,0+7/8,24,125,125,4,155
1+1/2,40,48,92,125,25.4,64,13,Optional Raised Face,12,28.575,2.33,1.35,0.98,PADDLE BLANK,PADDLE SPACER,1,27,140,140,4,170
2,50,61,124,165,31.8,51,16,Optional Raised Face,12,25.4,5.39,3.07,2.32,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,3,180
2+1/2,65,73,137,190,35.1,67,18,Optional Raised Face,12,28.575,7.09,4.13,2.96,PADDLE BLANK,PADDLE SPACER,1,27,160,160,3,200
3,80,89,155,190,35.1,67,18,Optional Raised Face,12,25.4,8.84,5.29,3.54,PADDLE BLANK,PADDLE SPACER,0+7/8,24,145,145,4,185
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,Optional Raised Face,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,114,181,235,41.1,73,21,Optional Raised Face,12,31.75,13.55,8.45,5.1,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,170,4,220
5,130,141,216,280,44.5,73,23,Optional Raised Face,12,34.925,20.52,13.03,7.48,PADDLE BLANK,PADDLE SPACER,1+1/4,33,190,190,4,240
6,150,168,241,315,47.8,73,24,Optional Raised Face,12,31.75,26.39,17.43,8.96,PADDLE BLANK,PADDLE SPACER,1+1/8,30,190,195,4,250
8,200,219,308,395,57.2,80,43,Optional Raised Face,12,38.1,50.92,34.07,16.84,PADDLE BLANK,PADDLE SPACER,1+3/8,36,220,220,4,285
10,250,273,362,470,63.5,121,48,Optional Raised Face,12,38.1,74.79,52.25,22.53,PADDLE BLANK,PADDLE SPACER,1+3/8,36,235,235,4,305
12,300,324,419,535,73.2,121,55,Optional Raised Face,12,38.1,113.15,80.7,32.44,PADDLE BLANK,PADDLE SPACER,1+3/8,36,255,255,4,335
14,350,356,467,560,82.6,121,62,Optional Raised Face,12,41.275,160.51,113.12,47.38,PADDLE BLANK,PADDLE SPACER,1+1/2,39,275,280,4,370
16,400,406,524,615,91.9,127,69,Optional Raised Face,12,44.45,221.8,158.46,63.33,PADDLE BLANK,PADDLE SPACER,1+5/8,42,285,290,4,390
18,450,457,594,685,101.6,133,77,Optional Raised Face,12,50.8,316.99,225.12,91.87,PADDLE BLANK,PADDLE SPACER,1+7/8,48,325,335,5,445
20,500,508,648,750,111.3,127,84,Optional Raised Face,12,53.975,406.61,293.49,113.12,PADDLE BLANK,PADDLE SPACER,2,52,350,360,5,480
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,610,772,900,133.4,140,101,Optional Raised Face,12,66.675,686.84,499.28,187.55,PADDLE BLANK,PADDLE SPACER,2+1/2,64,440,455,6,595
