20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,0.84,2.62,0.25,1.5,0.15,Half Ring Height,0.5in indicator hole,0.625,0.19,0.1,0.09,PADDLE BLANK,PADDLE SPACER,0+1/2,14,2.5,3,3.5
0+3/4,20,1.05,3.25,0.38,1.75,0.15,Half Ring Height,0.5in indicator hole,0.75,0.31,0.16,0.14,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3,3.5,4
1,25,1.32,3.5,0.38,2,0.15,Half Ring Height,0.5in indicator hole,0.75,0.36,0.19,0.16,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3,3.5,4
1+1/4,32,1.66,3.88,0.38,2,0.15,Half Ring Height,0.5in indicator hole,0.75,0.43,0.25,0.17,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.25,3.75,4.25
1+1/2,40,1.9,4.5,0.38,2.25,0.15,Half Ring Height,0.5in indicator hole,0.875,0.58,0.34,0.24,PADDLE BLANK,PADDLE SPACER,0+3/4,20,3.5,4,4.5
2,50,2.38,5,0.5,2.25,0.19,Half Ring Height,0.5in indicator hole,0.75,1.19,0.71,0.48,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,4,4.75
2+1/2,65,2.88,5.88,0.62,2.25,0.19,Half Ring Height,0.5in indicator hole,0.875,1.64,0.98,0.65,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4,4.5,5.25
3,80,3.5,6.62,0.62,2.25,0.19,Half Ring Height,0.5in indicator hole,0.875,2.11,1.29,0.81,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.75,5.5
3+1/2,90,4,7.25,0.75,2.5,0.27,Half Ring Height,0.5in indicator hole,0.875,3.35,2.09,1.26,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,5,6
4,100,4.5,7.88,0.62,2.5,0.27,Half Ring Height,0.5in indicator hole,0.875,4.01,2.52,1.49,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.5,5,5.75
5,130,5.56,9.25,0.75,3,0.31,Half Ring Height,0.5in indicator hole,0.875,6.98,4.47,2.51,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.75,5.25,6.25
6,150,6.62,10.62,0.88,3.25,0.31,Half Ring Height,0.5in indicator hole,0.875,9.34,6.06,3.28,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.75,5.5,6.5
8,200,8.62,13,1,3.75,0.67,Half Ring Height,0.5in indicator hole,1,19.42,13.08,6.33,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.5,6,7.25
10,250,10.75,15.25,1.12,4,0.78,Half Ring Height,0.5in indicator hole,1.125,29.22,20.55,8.66,PADDLE BLANK,PADDLE SPACER,1,27,6.25,6.75,8
12,300,12.75,17.75,1.38,4.75,0.86,Half Ring Height,0.5in indicator hole,1.25,43.9,31.31,12.58,PADDLE BLANK,PADDLE SPACER,1+1/8,30,6.75,7.25,8.75
14,350,14,20.25,1.5,5,0.94,Half Ring Height,0.5in indicator hole,1.25,67.86,46.58,21.27,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7,7.5,9.25
16,400,16,22.5,1.62,5,1.14,Half Ring Height,0.5in indicator hole,1.375,98.04,68.74,29.3,PADDLE BLANK,PADDLE SPACER,1+1/4,33,7.5,8,9.75
18,450,18,24.75,1.75,5,1.22,Half Ring Height,0.5in indicator hole,1.375,128.23,91.06,37.16,PADDLE BLANK,PADDLE SPACER,1+1/4,33,7.75,8.25,10.25
20,500,20,27,2,5,1.34,Half Ring Height,0.5in indicator hole,1.375,164.75,118.43,46.31,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8,8.75,11
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,32,2.25,6,1.53,Half Ring Height,0.5in indicator hole,1.625,261.55,190.13,71.42,PADDLE BLANK,PADDLE SPACER,1+1/2,39,9,10,12.5
