20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,21,65,6.4,38,4,Half Ring Height,12mm indicator hole,15.875,0.19,0.1,0.09,PADDLE BLANK,PADDLE SPACER,0+1/2,14,65,75,85
0+3/4,20,27,80,9.7,45,4,Half Ring Height,12mm indicator hole,19.05,0.31,0.16,0.14,PADDLE BLANK,PADDLE SPACER,0+5/8,16,75,90,100
1,25,34,90,9.7,51,4,Half Ring Height,12mm indicator hole,19.05,0.36,0.19,0.16,PADDLE BLANK,PADDLE SPACER,0+5/8,16,75,90,100
1+1/4,32,42,100,9.7,51,4,Half Ring Height,12mm indicator hole,19.05,0.43,0.25,0.17,PADDLE BLANK,PADDLE SPACER,0+5/8,16,85,95,105
1+1/2,40,48,115,9.7,57,4,Half Ring Height,12mm indicator hole,22.225,0.58,0.34,0.24,PADDLE BLANK,PADDLE SPACER,0+3/4,20,90,100,110
2,50,61,125,12.7,57,5,Half Ring Height,12mm indicator hole,19.05,1.19,0.71,0.48,PADDLE BLANK,PADDLE SPACER,0+5/8,16,90,100,115
2+1/2,65,73,150,15.7,57,5,Half Ring Height,12mm indicator hole,22.225,1.64,0.98,0.65,PADDLE BLANK,PADDLE SPACER,0+3/4,20,100,115,135
3,80,89,170,15.7,57,5,Half Ring Height,12mm indicator hole,22.225,2.11,1.29,0.81,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,120,140
3+1/2,90,102,180,19.1,64,7,Half Ring Height,12mm indicator hole,22.225,3.35,2.09,1.26,PADDLE BLANK,PADDLE SPACER,0+3/4,20,110,125,145
4,100,114,200,15.7,64,7,Half Ring Height,12mm indicator hole,22.225,4.01,2.52,1.49,PADDLE BLANK,PADDLE SPACER,0+3/4,20,115,125,145
5,130,141,235,19.1,76,8,Half Ring Height,12mm indicator hole,22.225,6.98,4.47,2.51,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,135,155
6,150,168,270,22.4,83,8,Half Ring Height,12mm indicator hole,22.225,9.34,6.06,3.28,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,140,165
8,200,219,330,25.4,95,17,Half Ring Height,12mm indicator hole,25.4,19.42,13.08,6.33,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,150,180
10,250,273,390,28.4,102,20,Half Ring Height,12mm indicator hole,28.575,29.22,20.55,8.66,PADDLE BLANK,PADDLE SPACER,1,27,160,170,200
12,300,324,450,35.1,121,22,Half Ring Height,12mm indicator hole,31.75,43.9,31.31,12.58,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,185,225
14,350,356,415,38.1,127,24,Half Ring Height,12mm indicator hole,31.75,67.86,46.58,21.27,PADDLE BLANK,PADDLE SPACER,1+1/8,30,180,190,230
16,400,406,570,41.1,127,29,Half Ring Height,12mm indicator hole,34.925,98.04,68.74,29.3,PADDLE BLANK,PADDLE SPACER,1+1/4,33,190,205,250
18,450,457,630,44.5,127,31,Half Ring Height,12mm indicator hole,34.925,128.23,91.06,37.16,PADDLE BLANK,PADDLE SPACER,1+1/4,33,195,210,255
20,500,508,685,50.8,127,34,Half Ring Height,12mm indicator hole,34.925,164.75,118.43,46.31,PADDLE BLANK,PADDLE SPACER,1+1/4,33,205,220,275
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,610,810,57.2,152,39,Half Ring Height,12mm indicator hole,41.275,261.55,190.13,71.42,PADDLE BLANK,PADDLE SPACER,1+1/2,39,230,255,315
