20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,0.84,2.62,0.25,1.5,1,Half Ring Height,0.5in indicator hole,0.625,0.19,0.1,0.09,PADDLE BLANK,PADDLE SPACER,0+1/2,14,3,3,3.5
0+3/4,20,1.05,3.25,0.38,1.75,1,Half Ring Height,0.5in indicator hole,0.75,0.31,0.16,0.14,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,3.5,4
1,25,1.32,3.5,0.38,2,2,Half Ring Height,0.5in indicator hole,0.75,0.36,0.19,0.16,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.5,3.5,4
1+1/4,32,1.66,3.88,0.38,2.25,2,Half Ring Height,0.5in indicator hole,0.75,0.67,0.38,0.29,PADDLE BLANK,PADDLE SPACER,0+5/8,16,3.75,3.75,4.25
1+1/2,40,1.9,4.5,0.38,2.25,2,Half Ring Height,0.5in indicator hole,0.875,0.91,0.51,0.4,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.25,4.25,4.75
2,50,2.38,5,0.5,2,2,Half Ring Height,0.5in indicator hole,0.75,1.23,0.71,0.52,PADDLE BLANK,PADDLE SPACER,0+5/8,16,4.25,4.25,5
2+1/2,65,2.88,5.88,0.62,2.25,2,Half Ring Height,0.5in indicator hole,0.875,2.21,1.28,0.92,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.75,4.75,5.5
3,80,3.5,6.62,0.62,2.62,2,Half Ring Height,0.5in indicator hole,0.875,2.85,1.7,1.15,PADDLE BLANK,PADDLE SPACER,0+3/4,20,5,5,5.75
3+1/2,90,4,7.25,0.75,2.62,2,Half Ring Height,0.5in indicator hole,1,4.07,2.49,1.58,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.5,5.5,6.5
4,100,4.5,8.5,0.75,2.88,2,Half Ring Height,0.5in indicator hole,1,6.04,3.59,2.44,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.75,5.75,6.75
5,130,5.56,10.5,0.88,2.88,2,Half Ring Height,0.5in indicator hole,1.125,11.4,6.79,4.6,PADDLE BLANK,PADDLE SPACER,1,27,6.5,6.5,7.5
6,150,6.62,11.5,1.12,2.88,2,Half Ring Height,0.5in indicator hole,1.125,15.91,9.8,6.11,PADDLE BLANK,PADDLE SPACER,1,27,6.75,6.75,8
8,200,8.62,13.75,1.38,3.25,3,Half Ring Height,0.5in indicator hole,1.25,28.05,18.03,10.01,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7.5,7.75,9.25
10,250,10.75,17,1.62,4.75,4,Half Ring Height,0.5in indicator hole,1.375,54,34.74,19.26,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8.5,8.5,10.25
12,300,12.75,19.25,1.88,4.75,4,Half Ring Height,0.5in indicator hole,1.375,80.78,53.2,27.58,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8.75,8.75,10.75
14,350,14,20.75,2,4.75,4,Half Ring Height,0.5in indicator hole,1.5,100.19,66.82,33.36,PADDLE BLANK,PADDLE SPACER,1+3/8,36,9.25,9.25,11.5
16,400,16,23.75,2.25,5,4,Half Ring Height,0.5in indicator hole,1.625,151.24,100.76,50.48,PADDLE BLANK,PADDLE SPACER,1+1/2,39,10,10,12.5
18,450,18,25.75,2.5,5.25,4,Half Ring Height,0.5in indicator hole,1.75,183.62,125.71,57.9,PADDLE BLANK,PADDLE SPACER,1+5/8,42,10.75,10.75,13.5
20,500,20,28.5,2.75,5,4,Half Ring Height,0.5in indicator hole,1.75,269.2,183.85,85.35,PADDLE BLANK,PADDLE SPACER,1+5/8,42,11.25,11.5,14.5
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,24,33,3.25,6,5,Half Ring Height,0.5in indicator hole,2,405.6,284.72,120.88,PADDLE BLANK,PADDLE SPACER,1+7/8,48,13,13.25,16.75
