20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,ID,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,sb len
0+1/2,15,21,90,12.7,41,5,Half Ring Height,12mm indicator hole,22.225,0.53,0.27,0.25,PADDLE BLANK,PADDLE SPACER,0+3/4,20,120,120,135
0+3/4,20,27,95,15.7,48,5,Half Ring Height,12mm indicator hole,22.225,0.62,0.32,0.29,PADDLE BLANK,PADDLE SPACER,0+3/4,20,125,125,145
1,25,34,110,15.7,54,5,Half Ring Height,12mm indicator hole,25.4,0.79,0.41,0.37,PADDLE BLANK,PADDLE SPACER,0+7/8,24,140,140,160
1+1/4,32,42,130,19.1,54,7,Half Ring Height,12mm indicator hole,28.575,1.56,0.82,0.73,PADDLE BLANK,PADDLE SPACER,1,27,150,150,170
1+1/2,40,48,145,22.4,61,8,Half Ring Height,12mm indicator hole,31.75,2.39,1.28,1.11,PADDLE BLANK,PADDLE SPACER,1+1/8,30,170,170,195
2,50,61,170,25.4,57,8,Half Ring Height,12mm indicator hole,28.575,3.75,2.01,1.73,PADDLE BLANK,PADDLE SPACER,1,27,180,180,210
2+1/2,65,73,195,28.4,61,10,Half Ring Height,12mm indicator hole,31.75,6.05,3.26,2.78,PADDLE BLANK,PADDLE SPACER,1+1/8,30,195,205,235
3,80,89,230,31.8,76,12,Half Ring Height,12mm indicator hole,34.925,9.73,5.29,4.43,PADDLE BLANK,PADDLE SPACER,1+1/4,33,220,230,265
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,114,270,38.1,83,22,Half Ring Height,12mm indicator hole,41.275,17.34,9.59,7.74,PADDLE BLANK,PADDLE SPACER,1+1/2,39,255,260,300
5,130,141,325,47.8,89,27,Half Ring Height,12mm indicator hole,47.625,29.97,16.79,13.17,PADDLE BLANK,PADDLE SPACER,1+3/4,45,300,310,360
6,150,168,370,57.2,95,31,Half Ring Height,12mm indicator hole,53.975,44.77,25.44,19.32,PADDLE BLANK,PADDLE SPACER,2,52,345,355,415
8,200,219,440,69.9,95,41,Half Ring Height,12mm indicator hole,53.975,86.39,49.82,36.57,PADDLE BLANK,PADDLE SPACER,2,52,380,395,465
10,250,273,540,82.6,95,50,Half Ring Height,12mm indicator hole,66.675,161.18,93.43,67.74,PADDLE BLANK,PADDLE SPACER,2+1/2,64,490,510,595
12,300,324,620,98.6,152,60,Half Ring Height,12mm indicator hole,73.025,255.01,148.27,106.73,PADDLE BLANK,PADDLE SPACER,2+3/4,72,540,560,660
