43,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
nb   API6b 2000psi,MET nb,MAX Bore,OD,OD Tolerance,Mac Chamber,Dia of Raised Face-min,Total Thickness,Basic Thickness,X Dia of Hub,PCD,No of Bolts,unc size,Hole Dia,Hole Toler,bolt length inch,Ring No,Hub Length threaded pipe,Hub Length threaded casing,Hub Length Tubing,Hub Length WN(sensor),WN Diam,Tol,Max Bore WN,spare,RF Height,gap / type R,Gap Type RX,Ring Width(ref),Grove Width R,Grove Depth R,Groove Dia,metric bolt dia,bolt len in mm,spare,spare,spare,WN wtkg,Thd wtkg,Blind wtkg,sb wt,Grove Width RX,Grove Depth RX
2+1/16,52,2.09,6.5,0.06,0.12,4.25,1.31,1,3.31,5,8,0+5/8,0.75,0.06,5,R23 or RX23,1.75,N/A,N/A,3.19,2.38,0.09,2.1,N/A,N/A,0.19,0.47,N/A,R23 = 0.469,R23 = 0.31,3.25,16,5,N/A,N/A,N/A,4.97,4.7,4.97,1.55,RX23 = 0.469,RX23 = 0.31
2+9/16,65,2.59,7.5,0.06,0.12,5,1.44,1.12,3.94,5.88,8,0+3/4,0.88,0.06,5.5,R26 or RX26,1.94,N/A,N/A,3.44,2.88,0.09,2.5,N/A,N/A,0.19,0.47,N/A,R26 = 0.469,R26 = 0.31,4,20,5.5,N/A,N/A,N/A,7.25,6.71,7.21,3.24,RX26 = 0.469,RX26 = 0.31
3+1/8,78,3.22,8.25,0.06,0.12,5.75,1.56,1.25,4.62,6.62,8,0+3/4,0.88,0.06,5.75,R31 or RX31,2.12,N/A,N/A,3.56,3.5,0.09,3.1,N/A,N/A,0.19,0.47,N/A,R31 = 0.469,R31 = 0.31,4.875,20,5.75,N/A,N/A,N/A,9.52,8.68,9.69,3.4,RX31 = 0.469,RX31 = 0.31
4+1/16,103,4.28,10.75,0.06,0.12,6.88,1.81,1.5,6,8.5,8,0+7/8,1,0.06,6.5,R37 or RX37,2.44,3.5,N/A,4.31,4.5,0.09,4.06,N/A,N/A,0.19,0.47,N/A,R37 = 0.469,R37 = 0.31,5.875,22,6.5,N/A,N/A,N/A,19.13,17.31,19.56,4.59,RX37 = 0.469,RX37 = 0.31
5+1/8,130,5.16,13,0.06,0.12,8.25,2.06,1.75,7.44,10.5,8,1,1.12,0.06,7.25,R41 or RX41,2.69,4,N/A,4.81,5.56,0.09,4.84,N/A,N/A,0.19,0.47,N/A,R41 = 0.469,R41 = 0.31,7.125,24,7.25,N/A,N/A,N/A,32.85,29.19,32.89,6.12,RX41 = 0.469,RX41 = 0.31
7+1/16,178,7.16,14,0.12,0.25,9.5,2.19,1.88,8.75,11.5,12,1,1.12,0.06,7.5,R45 or RX45,2.94,4.5,N/A,4.94,6.63,0.16,5.79,N/A,N/A,0.19,0.47,N/A,R45 = 0.469,R45 = 0.31,8.313,24,7.5,N/A,N/A,N/A,39.16,30.37,39.7,9.55,RX45 = 0.469,RX45 = 0.31
9,228,9.03,16.5,0.12,0.25,11.88,2.5,2.19,10.75,13.75,12,1+1/8,1.25,0.06,8.5,R49 or RX49,3.31,5,N/A,5.56,8.63,0.16,7.84,N/A,N/A,0.19,0.47,N/A,R49 = 0.469,R49 = 0.31,10.625,30,8.5,N/A,N/A,N/A,59.48,46,63.58,18.28,RX49 = 0.469,RX49 = 0.31
11,279,11.03,20,0.12,0.25,14,2.81,2.5,13.5,17,16,1+1/4,1.38,0.06,9.25,R53 or RX53,3.69,5.25,N/A,6.31,10.75,0.16,9.78,N/A,N/A,0.19,0.47,N/A,R53 = 0.469,R53 = 0.31,12.75,33,9.25,N/A,N/A,N/A,97.35,75.25,104.28,31.72,RX53 = 0.469,RX53 = 0.31
13+5/8,346,13.66,22,0.12,0.25,16.25,2.94,2.62,15.75,19.25,20,1+1/4,1.38,0.06,9.5,R57 or RX57,3.94,3.94,N/A,,N/A,N/A,N/A,N/A,N/A,0.19,0.47,N/A,R57 = 0.469,R57 = 0.31,15,33,9.5,N/A,N/A,N/A,N/A,83.45,132.24,40.81,RX57 = 0.469,RX57 = 0.31
16+3/4,425,16.78,27,0.12,0.25,20,3.31,3,19.5,23.75,20,1+1/2,1.62,0.09,10.75,R65 or RX65,4.5,4.5,N/A,,N/A,N/A,N/A,N/A,N/A,0.19,0.47,N/A,R65 = 0.469,R65 = 0.31,18.5,39,10.75,N/A,N/A,N/A,N/A,142.75,224.29,68.44,RX65 = 0.469,RX65 = 0.31
21+1/4,540,21.28,32,0.12,0.25,25,3.88,3.5,24,28.5,24,1+5/8,1.75,0.09,12.25,R73 or RX73,5.38,5.38,N/A,,N/A,N/A,N/A,N/A,N/A,0.13,0.59,N/A,R73 = 0.531,R73 = 0.38,23,42,12.25,N/A,N/A,N/A,N/A,214.95,371.89,106.77,RX73 = 0.531,RX73 = 0.38
