43,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
nb   API6b 3000psi,MET nb,MAX Bore,OD,OD Tolerance,Mac Chamber,Dia of Raised Face-min,Total Thickness,Basic Thickness,X Dia of Hub,PCD,No of Bolts,unc size,Hole Dia,Hole Toler,bolt length inch based,Ring No,Hub Length threaded pipe,Hub Length threaded casing,Hub Length Tubing,Hub Length WN(sensor),WN Diam,Tol +,Max Bore WN,spare,RF Height,gap / type R,Gap Type RX,Ring Width(ref),Grove Width Type R,Grove Depth Type R,Groove Dia,metric bolt dia,bolt length mm based,spare,spare,spare,WN wtkg,Thd wtkg,Blind wtkg,sb wt,Grove Width Type RX,Grove Dep Type RX
2+1/16,52,53.2,215,2,3,124,46.1,38.1,104.8,165.1,8,0+7/8,26,2,170,R24 or RX24,65.1,N/A,65.1,109.6,60.3,2.4,50,N/A,N/A,4.8,11.9,,R24 = 11.91,R24 = 7.9,95.25,22,170,N/A,N/A,N/A,11.87,11.83,11.68,4.05,RX24 = 11.91,RX24 = 7.87
2+9/16,65,65.9,245,2,3,137,49.3,41.3,123.8,190.5,8,1,29,2,180,R27 or RX27,71.4,N/A,71.4,112.7,73,2.4,59.7,N/A,N/A,4.8,11.9,,R27 = 11.91,R27 = 7.9,107.95,24,180,N/A,N/A,N/A,16.35,16.24,16.05,6.12,RX27 = 11.91,RX27 = 7.87
3+1/8,78,81.8,240,2,3,156,46.1,38.1,127,190.5,8,0+7/8,26,2,170,R31 or RX31,61.9,N/A,74.7,109.5,88.9,2.4,74.4,N/A,N/A,4.8,11.9,,R31 = 11.91,R31 = 7.9,123.83,22,170,N/A,N/A,N/A,15.28,13.99,14.95,4.59,RX31 = 11.91,RX31 = 7.87
4+1/16,103,108.7,290,2,3,181,52.4,44.4,158.8,235,8,1+1/8,32,2,195,R37 or RX37,77.8,88.9,88.9,122.2,114.3,2.4,98,N/A,N/A,4.8,11.9,,R37 = 11.91,R37 = 7.9,149.23,30,195,N/A,N/A,N/A,25.03,23.06,24.78,11.25,RX37 = 11.91,RX37 = 7.87
5+1/8,130,131,350,2,3,216,58.8,50.8,190.5,279.4,8,1+1/4,35,2,210,R41 or RX41,87.3,101.6,,134.9,141.3,2.4,122.9,N/A,N/A,4.8,11.9,,R41 = 11.91,R41 = 7.9,180.98,33,210,N/A,N/A,N/A,40.14,37.51,40.33,14.72,RX41 = 11.91,RX41 = 7.87
7+1/16,178,181.8,380,3,6,241,63.5,55.6,235,317.5,12,1+1/8,32,2,220,R45 or RX45,93.7,114.3,,147.6,168.3,4.1,147.1,N/A,N/A,4.8,11.9,,R45 = 11.91,R45 = 7.9,211.15,30,220,N/A,N/A,N/A,51.53,42.98,51.73,18,RX45 = 11.91,RX45 = 7.87
9,228,229.4,470,3,6,308,71.5,63.5,298.5,393.7,12,1+3/8,39,2,245,R49 or RX49,109.5,127,,169.9,219.1,4.1,189.7,N/A,N/A,4.8,11.9,,R49 = 11.91,R49 = 7.9,269.88,42,245,N/A,N/A,N/A,89.78,74.44,88.96,46.29,RX49 = 11.91,RX49 = 7.87
11,279,280.2,545,3,6,362,77.8,69.9,368.3,469.9,16,1+3/8,39,2,255,R53 or RX53,115.9,133.4,,192.1,273,4.1,237.2,N/A,N/A,4.8,11.9,,R53 = 11.91,R53 = 7.9,323.85,42,255,N/A,N/A,N/A,133.73,106.91,130.98,63.29,RX53 = 11.91,RX53 = 7.87
13 5/8,346,346.9,610,3,6,419,87.4,79.4,419.1,533.4,20,1+3/8,39,2,275,R57 or RX57,125.4,125.4,,,0,0,0,,N/A,4.8,11.9,,R57 = 11.91,R57 = 7.9,381,42,275,N/A,N/A,N/A,N/A,131.73,183.14,83.07,RX57 = 11.91,RX57 = 7.87
16 3/4,425,426.2,705,3,6,524,100.1,88.9,508,616,20,1+5/8,45,2.5,315,R66 or RX66,128.6,144.6,,,0,0,0,,N/A,4.1,11.9,,R66 = 16.66,R66 = 11.2,469.9,42,315,N/A,N/A,N/A,N/A,182.14,280.03,90.96,RX66 = 16.67,RX66 = 11.18
20 3/4,527,527.8,855,3,6,648,120.7,108,622.3,749.3,20,2,54,2.5,385,R74 or RX74,171.4,171.5,,,0,0,0,,N/A,4.8,18.3,,R74 = 19.84,R74 = 12.7,584.2,52,385,N/A,N/A,N/A,N/A,328,500.04,172.75,RX74 = 19.84,RX74 = 12.7
