54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+1/2,15,4.75,0.88,1.5,0.84,1.25,1.25,2.38,0.88,1.38,0.25,2.38,0.25,12,0.16,N/A,0+1/2,3.25,4,0+3/4,,4.25,4.25,0+7/8,20,2.3,1.8,1.8,21,0+1/2,0.9,0,0,0.88,1.562,0.25,0.344,0,1.54,1.54,0.5,1.5,0.06,0.88,2.63,2.63,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+3/4,20,5.12,1,1.75,1.05,1.38,1.38,2.75,1.09,1.69,0.25,2.62,0.25,14,0.16,N/A,0+3/4,3.5,4,0+3/4,,4.5,4.5,0+7/8,20,2.7,2.3,2.7,27,0+3/4,1.11,0,0,1,1.75,0.25,0.344,0,1.58,1.58,0.75,1.75,0.06,1,3,3,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1,25,5.88,1.12,2.06,1.32,1.62,1.62,2.88,1.36,2,0.25,2.81,0.25,16,0.16,N/A,1,4,4,0+7/8,,5,5,1,24,4.1,3.6,3.6,33,1,1.38,0,0,1.12,2,0.25,0.344,0,2.58,2.58,1,2.06,0.06,1.12,3.13,3.13,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1+1/4,32,6.25,1.12,2.5,1.66,1.62,1.62,2.88,1.7,2.5,0.25,3.19,0.25,18,0.16,N/A,1+1/4,4.38,4,0+7/8,,5,5,1,24,4.6,4.1,4.1,42,1+1/4,1.72,0,0,1.12,2.375,0.25,0.344,0,2.58,2.58,1.25,2.5,0.06,1.12,3.13,3.13,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1+1/2,40,7,1.25,2.75,1.9,1.75,1.75,3.35,1.95,2.88,0.25,3.62,0.25,20,0.16,N/A,1+1/2,4.88,4,1,,5.5,5.5,1+1/8,27,5.9,5.5,5.9,48,1+1/2,1.97,0,0,1.25,2.688,0.25,0.344,0,3.75,3.75,1.5,2.75,0.06,1.25,3.6,3.6,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
2,50,8.5,1.5,4.12,2.38,2.25,2.25,4,2.44,3.62,0.25,4.88,0.312,24,0.12,N/A,2,6.5,8,0+7/8,,5.75,5.75,1,24,11.5,11.5,10.1,60,2,2.46,0,0,1.5,3.75,0.312,0.469,0,5.64,5.64,2,4.12,0.06,1.5,4.25,4.312,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
