23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,od,thickness,rf dia,pcd,no bolts,bolt dia,bolt hole dia,bolt length,hub dia large end,RF Height,hub dia small end,hub length,Blind Thick c2,wn wt,bnd wt,M bolt size,id,wallthk,sb wt kg,holes,dia
26,650,1020,135,762,901.7,20,2+1/2,2+5/8,450,743,7,660.4,259,154,476,990,64,635,12.7,225,holes,dia
28,700,1105,147.7,819,971.6,20,2+3/4,2+7/8,495,797,7,711.2,276,166.7,689,1252,72,685.8,12.7,419.9,holes,dia
30,750,1180,155.6,876,1035,20,3,3+1/8,520,851,7,762,289,176.1,825,1512,76,736.6,12.7,497.59,holes,dia
32,800,1240,160.4,927,1092.2,20,3,3+1/8,535,908,7,812.8,303,186,936,1753,76,787.4,12.7,504.2,holes,dia
34,850,1315,171.5,991,1155.7,20,3+1/4,3+3/8,570,962,7,863.6,319,195,1111,2075,80,838.2,12.7,577.4,holes,dia
36,900,1345,173.1,1029,1200.2,24,3,3+1/8,565,1016,7,914.4,325,201.7,1143,2251,76,889,12.7,625.2,holes,dia
38,950,1460,190.5,1099,1289,20,3+1/2,3+5/8,620,1073,7,965.2,352,215.9,1535,2836,90,,,863.4,holes,dia
40,1000,1510,196.9,1162,1339.8,24,3+1/2,3+5/8,635,1127,7,1016,364,223.9,1642,3147,90,,,1052.63,holes,dia
42,1050,1560,206.4,1213,1390.6,24,3+1/2,3+5/8,655,1176,7,1066.8,371,231.8,1796,3481,90,,,1074.72,holes,dia
44,1100,1650,214.4,1270,1463.7,24,3+3/4,3+7/8,685,1235,7,1117.6,391,242.9,1950,4061,95,,,1245.83,holes,dia
46,1150,1735,225.5,1334,1536.7,24,4,4+1/8,725,1292,7,1168.4,411,255.6,2104,4729,100,,,1489.14,holes,dia
48,1200,1785,233.4,1384,1587.5,24,4,4+1/8,735,1343,7,1219.2,419,263.6,2258,5170,100,,,1510.03,holes,dia
