23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb   BS10 Table A,nb   BS10 Table A,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
0+1/2,15,95.25,12.7,6.35,4.7625,N/A,66.675,4,0+1/2,14,0.258001889955469,0.4633616988,45,15.875,N/A,6945.3365625,33077.1653789063,3.30771653789063E-05,0.258001889955469,,40.525,0.4633616988
0+3/4,20,101.6,12.7,6.35,4.7625,N/A,73.025,4,0+1/2,14,0.289349663616,0.4633616988,45,15.875,N/A,7789.2096,37096.11072,0.00003709611072,0.289349663616,,40.525,0.4633616988
1,25,114.3,12.7,7.9375,7.9375,N/A,87.3125,4,0+1/2,14,0.604575540830625,0.493844442,50,15.875,N/A,9764.99965,77509.684721875,7.7509684721875E-05,0.604575540830625,,46.875,0.44
1+1/4,32,120.65,15.875,7.9375,12.7,N/A,87.3125,4,0+1/2,14,1.05230959168725,0.5395685568,60,15.875,N/A,10622.9516625,134911.48611375,1.3491148611375E-04,1.05230959168725,,56.4,0.48
1+1/2,40,133.35,15.875,9.525,6.35,N/A,98.425,4,0+1/2,14,0.629181802133625,0.4786030704,45,15.875,N/A,12703.0446625,80664.333606875,8.0664333606875E-05,0.629181802133625,,43.7,0.4786030704
2,50,152.4,15.875,9.525,7.9375,N/A,114.3,4,0+5/8,16,1.00729913856,0.720260736,55,18.25625,N/A,16269.7216,129140.9152,0.0001291409152,1.00729913856,,50.875,0.61
2+1/2,65,155.575,17.4625,11.1125,7.9375,N/A,127,4,0+5/8,16,0.97098524026207,0.720260736,55,18.25625,N/A,15683.185790625,124485.287213086,1.24485287213086E-04,0.97098524026207,,50.875,0.61
3,80,184.15,9.525,14.2875,9.525,N/A,146.05,4,0+5/8,16,1.60449782637544,0.7401678336,60,18.25625,N/A,21596.3096625,205704.849535313,2.05704849535313E-04,1.60449782637544,,54.05,0.64
3+1/2,90,203.2,9.525,19.84375,9.526,N/A,165.1,4,0+5/8,16,1.93591029526752,0.740180373504,60,18.25625,N/A,26054.3384,248193.6275984,2.481936275984E-04,1.93591029526752,,54.052,0.64
4,100,215.9,19.05,9.525,9.525,N/A,177.8,4,0+5/8,16,2.13531674437575,0.7401678336,60,18.25625,N/A,28741.05585,273758.55697125,2.7375855697125E-04,2.13531674437575,,54.05,0.64
5,130,254,19.05,17.4625,12.7,N/A,215.9,4,0+3/4,20,3.7027201536,1.45384512,70,23.01875,N/A,37378.56,474707.712,0.000474707712,3.7027201536,,68.4,1.2
6,150,279.4,20.6375,17.4625,12.7,N/A,234.95,4,0+3/4,20,4.320801318756,1.45384512,70,23.01875,N/A,43618.0226,553948.88702,0.00055394888702,4.320801318756,,68.4,1.2
7,175,304.8,20.6375,19.05,12.7,N/A,260.35,8,0+3/4,20,4.842871174284,2.90769024,70,23.01875,N/A,48888.2614,620880.91978,0.00062088091978,4.842871174284,,68.4,2.41
8,200,336.55,22.225,19.05,12.7,N/A,292.1,8,0+3/4,20,5.69731043679525,2.90769024,70,23.01875,N/A,57513.7334625,730424.41497375,7.3042441497375E-04,5.69731043679525,,68.4,2.41
9,225,368.3,22.225,19.05,15.875,N/A,323.85,8,0+3/4,20,8.26415648521125,3.0321096,80,23.01875,N/A,66740.61365,1059507.24169375,1.05950724169375E-03,8.26415648521125,,74.75,2.58
10,250,406.4,23.8125,19.05,15.875,N/A,355.6,8,0+3/4,20,9.97891479702,3.0321096,80,23.01875,N/A,80588.8536,1279348.0509,0.0012793480509,9.97891479702,,74.75,2.58
12,300,457.2,23.8125,22.225,19.05,N/A,406.4,8,0+3/4,20,13.884248767896,3.15652896,85,23.01875,N/A,93439.9944,1780031.89332,0.00178003189332,13.884248767896,,81.1,2.66
13,325,488.95,23.8125,22.225,19.05,N/A,444.5,8,0+3/4,20,15.5656903939729,3.15652896,85,23.01875,N/A,104755.9754625,1995601.33256062,1.99560133256062E-03,15.5656903939729,,81.1,2.66
14,350,527.05,25.4,25.4,22.225,N/A,469.9,8,0+7/8,24,21.1313047364567,5.4017203968,100,26.9875,N/A,121896.1364625,2709141.63287906,2.70914163287906E-03,21.1313047364567,,95.45,4.57
15,375,552.45,25.4,25.4,22.225,N/A,495.3,8,0+7/8,24,22.3961072370092,5.4017203968,100,26.9875,N/A,129192.1619625,2871295.79961656,2.87129579961656E-03,22.3961072370092,,95.45,4.57
16,400,577.85,36.5125,25.4,22.225,N/A,520.7,12,0+7/8,24,23.6663966313377,8.1025805952,100,26.9875,N/A,136519.8386625,3034153.41427406,3.03415341427406E-03,23.6663966313377,,95.45,6.86
17,425,609.6,36.5125,26.9875,22.225,N/A,552.45,12,0+7/8,24,25.990234610613,8.1025805952,100,26.9875,N/A,149924.9206,3332081.360335,0.003332081360335,25.990234610613,,95.45,6.86
18,450,641.35,36.5125,26.9875,22.225,N/A,584.2,12,0+7/8,24,28.4183296953977,8.1025805952,100,26.9875,N/A,163931.4106625,3643375.60197406,3.64337560197406E-03,28.4183296953977,,95.45,6.86
19,475,673.1,28.575,28.575,22.225,N/A,609.6,12,0+7/8,24,30.9506818856918,8.1025805952,100,26.9875,N/A,178539.30885,3968036.13919125,3.96803613919125E-03,30.9506818856918,,95.45,6.86
20,500,704.85,28.575,28.575,25.4,N/A,641.35,12,0+7/8,24,38.3854756359945,8.3713264128,105,26.9875,N/A,193748.6151625,4921214.8251275,4.9212148251275E-03,38.3854756359945,,101.8,7.04
21,525,736.6,28.575,28.575,25.4,N/A,666.75,12,0+7/8,24,41.517894380352,8.3713264128,105,26.9875,N/A,209559.3296,5322806.97184,0.00532280697184,41.517894380352,,101.8,7.04
22,550,762,30.1625,30.1625,25.4,N/A,698.5,12,1,27,43.2581230848,11.5591120632,110,30.1625,N/A,218343.04,5545913.216,0.005545913216,43.2581230848,,107.8,9.88
23,575,787.4,30.1625,30.1625,25.4,N/A,469.9,12,1,27,45.004622524992,11.5591120632,110,30.1625,N/A,227158.4016,5769823.40064,0.00576982340064,45.004622524992,,107.8,9.88
24,600,825.5,30.1625,30.1625,25.4,N/A,755.65,12,1,27,49.99329297105,11.5591120632,110,30.1625,N/A,252338.44625,6409396.53475,0.00640939653475,49.99329297105,,107.8,9.88
26,650,844.55,31.75,0,25.4,N/A,781.05,16,1,27,45.2209477445505,15.4121494176,110,30.1625,N/A,228250.2914625,5797557.4031475,5.7975574031475E-03,45.2209477445505,,107.8,13.18
27,675,869.95,31.75,0,25.4,N/A,806.45,16,1,27,46.8420231384105,15.4121494176,110,30.1625,N/A,236432.5819625,6005387.5818475,6.0053875818475E-03,46.8420231384105,,107.8,13.18
29,725,927.1,31.75,0,25.4,N/A,857.25,20,1,27,51.927883378722,19.265186772,110,30.1625,N/A,262103.18685,6657420.94599,0.00665742094599,51.927883378722,,107.8,16.47
30,750,946.15,31.75,0,25.4,N/A,882.65,20,1,27,51.7428737344545,19.265186772,110,30.1625,N/A,261169.3606625,6633701.7608275,6.6337017608275E-03,51.7428737344545,,107.8,16.47
33,825,1028.7,31.75,0,31.75,N/A,965.2,20,1,27,73.4071677291225,20.39895819,125,30.1625,N/A,296414.97165,9411175.34988751,9.41117534988751E-03,73.4071677291225,,120.5,17.62
35,875,1079.5,31.75,0,31.75,N/A,1016,24,1,27,77.7028550000625,24.478749828,125,30.1625,N/A,313760.77125,9961904.4871875,9.9619044871875E-03,77.7028550000625,,120.5,21.14
36,900,1104.9,34.925,0,28.575,N/A,1041.4,24,1,27,71.8762106385473,23.7984869772,120,30.1625,N/A,322481.14785,9214898.79981375,9.21489879981375E-03,71.8762106385473,,114.15,20.68
39,975,1181.1,34.925,0,28.575,N/A,1117.6,24,1,27,77.7494615202922,23.7984869772,120,30.1625,N/A,348832.18485,9967879.68208875,9.96787968208875E-03,77.7494615202922,,114.15,20.68
42,1050,1257.3,34.925,0,31.75,N/A,1193.8,28,1,27,92.9846706682725,28.558541466,125,30.1625,N/A,375468.08265,11921111.6241375,1.19211116241375E-02,92.9846706682725,,120.5,24.66
45,1125,1339.85,38.1,0,38.1,N/A,1276.35,28,1,27,123.542130998842,30.1458214512,135,30.1625,N/A,415714.8226625,15838734.7434412,1.58387347434412E-02,123.542130998842,,133.2,25.76
48,1200,1416.05,38.1,0,38.1,N/A,1352.55,28,1,27,131.852857456096,30.1458214512,135,30.1625,N/A,443680.1179625,16904212.4943712,1.69042124943712E-02,131.852857456096,,133.2,25.76
54,1200,1606.55,44.45,0,44.45,N/A,1530.35,32,1+1/4,30,310.543736315733,47.94749856,155,33.3375,N/A,895687.2784625,39813299.5276581,3.98132995276581E-02,310.543736315733,,151.9,41.31
60,1350,1784.35,47.625,0,38.1,N/A,1701.8,32,1+1/2,39,317.597117171812,93.3394430592,160,42.06875,N/A,1068702.8641625,40717579.1245913,4.07175791245913E-02,317.597117171812,,157.2,82.71
66,1500,1943.1,554.0375,0,41.275,N/A,1866.9,32,1+1/4,30,385.569549275888,46.82772432,150,33.3375,N/A,1197625.52385,49431993.4969087,4.94319934969087E-02,385.569549275888,,145.55,40.54
72,1650,2108.2,60.325,0,44.45,N/A,2019.3,36,1+3/8,36,468.674147191614,87.9592364352,165,38.89375,N/A,1351775.6834,60086429.12713,0.06008642912713,468.674147191614,,163.9,76.71
