23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb     BS10 Table D,nb     BS10 Table D,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
0+1/2,15,95.25,12.7,6.35,9.525,0,66.675,4,0+3/8,12,0.7,0.29,50,12.7,N/A,6945.336563,66154.33076,6.62E-05,0.51600378,,55.05,0.331700054
0+3/4,20,101.6,12.7,6.35,9.525,0,73.025,4,0+3/8,12,0.8,0.29,50,12.7,N/A,7789.2096,74192.22144,7.42E-05,0.578699327,,55.05,0.3
1,25,114.3,12.7,7.9375,9.525,0,82.55,4,0+3/8,12,1.01,0.29,50,12.7,N/A,9764.99965,93011.62167,9.30E-05,0.725490649,,55.05,0.3
1+1/4,32,120.65,15.875,7.9375,12.7,0,87.3125,4,0+3/8,12,1.41,0.32,55,12.7,N/A,10622.95166,134911.4861,1.35E-04,1.052309592,,61.4,0.31
1+1/2,40,133.35,15.875,9.525,12.7,0,98.425,4,0+3/8,12,1.72,0.32,55,12.7,N/A,12703.04466,161328.6672,1.61E-04,1.258363604,,61.4,0.31
2,50,152.4,17.4625,9.525,14.2875,0,114.3,4,0+5/8,16,2.48,0.33,30,19.05,N/A,16269.7216,0,0,0,,64.575,0.2645136
2+1/2,65,165.1,17.4625,11.1125,14.2875,0,127,4,0+5/8,16,2.91,0.68,40,19.05,N/A,18080.91285,0,0,0,,76.575,0.620725248
3,80,184.15,19.05,12.7,14.2875,0,146.05,4,0+5/8,16,3.95,0.7,40,19.05,N/A,21596.30966,0,0,0,,76.575,0.620725248
3.+1/2,90,203.2,19.05,0,14.2875,0,146.05,4,0+5/8,16,4.81,0.7,40,19.05,N/A,26054.3384,0,0,0,,76.575,0.620725248
4,100,215.9,19.05,9.525,17.4625,0,177.8,4,0+5/8,16,5.43,0.7,40,19.05,N/A,28741.05585,0,0,0,,82.925,0.620725248
5,130,254,20.6375,17.4625,17.4625,0,215.9,8,0+3/4,20,8.15,2.74,80,22.225,N/A,37378.56,652723.104,0.000652723,5.091240211,,94.925,2.58
6,150,279.4,20.6375,17.4625,17.4625,0,234.95,8,0+3/4,20,9.86,2.74,80,22.225,N/A,43618.0226,761679.7197,7.62E-04,5.941101813,,94.925,2.58
7,175,304.8,22.225,19.05,19.05,0,260.35,8,0+3/4,20,12.64,2.81,85,22.225,N/A,48888.2614,931321.3797,0.000931321,7.264306761,,98.1,2.66
8,200,336.55,22.225,19.05,19.05,0,292.1,8,0+3/4,20,15.41,2.81,85,22.225,N/A,57513.73346,1095636.622,1.10E-03,8.545965655,,98.1,2.66
9,225,368.3,22.225,19.05,19.05,0,323.85,8,0+3/4,20,18.45,2.81,85,22.225,N/A,66740.61365,1271408.69,1.27E-03,9.916987782,,98.1,2.66
10,250,406.4,25.4,19.05,19.05,0,355.6,8,0+3/4,20,25.68,2.93,85,22.225,N/A,80588.8536,1535217.661,0.001535218,11.97469776,,98.1,2.66
12,300,457.2,25.4,22.225,22.225,0,406.4,12,0+7/8,24,32.5,7.35,100,25.4,N/A,93439.9944,2076703.876,0.002076704,16.19829023,,116.45,6.86
13,325,488.95,25.4,22.225,22.225,0,444.5,12,0+7/8,24,37.17,7.35,100,25.4,N/A,104755.9755,2328201.555,2.33E-03,18.15997213,,116.45,6.86
14,350,527.05,28.575,25.4,0,0,469.9,12,0+7/8,24,48.59,7.62,55,25.4,N/A,121896.1365,0,0,0,,72,5.25
15,375,552.45,28.575,25.4,25.4,0,495.3,12,0+7/8,24,53.39,7.62,105,25.4,N/A,129192.162,3281480.914,3.28E-03,25.59555113,,122.8,7.04
16,400,577.85,47.625,25.4,25.4,0,520.7,12,0+7/8,24,97.36,9.23,105,25.4,N/A,136519.8387,3467603.902,3.47E-03,27.04731044,,122.8,7.04
17,425,609.6,28.575,28.575,28.575,0,552.45,12,0+7/8,24,65.01,7.62,110,25.4,N/A,149924.9206,4284104.606,0.004284105,33.41601593,,129.15,7.22
18,450,641.35,31.75,28.575,28.575,0,584.2,12,0+7/8,24,79.96,7.89,110,25.4,N/A,163931.4107,4684340.06,4.68E-03,36.53785247,,129.15,7.22
19,475,673.1,31.75,28.575,28.575,0,609.6,12,0+7/8,24,88.07,7.89,110,25.4,N/A,178539.3089,5101760.75,5.10E-03,39.79373385,,129.15,7.22
20,500,704.85,31.75,31.75,31.75,0,641.35,16,0+7/8,24,96.58,10.97,120,25.4,N/A,193748.6152,6151518.531,6.15E-03,47.98184454,,135.5,10.11
21,525,736.6,34.925,38.1,31.75,0,673.1,16,0+7/8,24,116.02,11.33,120,25.4,N/A,209559.3296,6653508.715,0.006653509,51.89736798,,135.5,10.11
22,600,762,34.925,38.1,38.1,0,698.5,16,1,27,124.16,15.2,135,28.575,N/A,173205.54,6599131.074,0.006599131,51.47322238,,157.2,14.72
23,575,787.4,34.925,34.925,34.925,0,723.9,16,1,27,132.58,15.2,130,28.575,N/A,227158.4016,7933507.176,0.007933507,61.88135597,,150.85,14.41
