23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb BS10 Table K,nb BS10 Table K,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
0+1/2,15,114.3,N/A,19.05,19.05,63.5,82.55,4,0+5/8,16,1.497638558,0.859610419,75,18.25625,2,10078.99965,192004.9433,1.92E-04,1.497638558,,73.1,0.859610419
0+3/4,20,114.3,N/A,19.05,19.05,63.5,82.55,4,0+5/8,16,1.477226007,0.859610419,75,18.25625,2,9941.62465,189387.9496,1.89E-04,1.477226007,,73.1,0.71
1,25,127,N/A,22.225,22.225,76.2,95.25,4,0+5/8,16,2.109841297,0.899424614,85,18.25625,2,12170.64,270492.474,0.000270492,2.109841297,,79.45,0.77
1+1/4,32,133.35,N/A,22.225,22.225,76.2,98.425,4,0+5/8,16,2.280520504,0.899424614,85,18.25625,2,13155.20466,292374.4236,2.92E-04,2.280520504,,79.45,0.77
1+1/2,40,152.4,N/A,25.4,25.4,88.9,114.3,4,0+3/4,20,3.363329023,1.70268384,95,23.01875,2,16976.2216,431196.0286,0.000431196,3.363329023,,93.8,1.41
2,50,165.1,N/A,25.4,25.4,101.6,127,8,0+5/8,16,3.850469699,1.878477619,90,18.25625,2,19435.03785,493649.9614,0.00049365,3.850469699,,85.8,1.59
2+1/2,65,184.15,N/A,28.575,28.575,114.3,146.05,8,0+3/4,20,5.194041756,3.52978704,105,23.01875,2,23303.68466,665902.7892,6.66E-04,5.194041756,,100.15,3
3,80,203.2,N/A,31.75,31.75,127,165.1,8,0+3/4,20,6.78284583,3.6542064,110,23.01875,2,27388.8384,869595.6192,0.000869596,6.78284583,,106.5,3.08
3+1/2,90,228.6,N/A,31.75,31.75,139.7,184.15,8,0+7/8,24,8.584539253,5.939212032,120,26.9875,2,34663.9986,1100581.956,0.001100582,8.584539253,,114.5,5.05
4,100,241.3,N/A,34.925,34.925,152.4,196.85,8,0+7/8,24,10.31286005,6.11837591,125,26.9875,2,37857.16665,1322161.545,1.32E-03,10.31286005,,120.85,5.17
5,130,279.4,N/A,41.275,41.275,177.8,234.95,12,0+7/8,24,15.45787451,9.715055501,135,26.9875,2,48014.0226,1981778.783,0.001981779,15.45787451,,133.55,8.11
6,150,304.8,N/A,41.275,41.275,209.55,260.35,12,0+7/8,24,17.79273677,9.715055501,135,26.9875,2,55266.3864,2281120.099,0.00228112,17.79273677,,133.55,8.11
7,175,342.9,N/A,44.45,44.45,234.95,292.1,12,1,27,23.66642351,13.59990062,150,30.1625,2,68259.99685,3034156.86,3.03E-03,23.66642351,,145.9,11.73
8,200,368.3,N/A,47.625,47.625,260.35,317.5,12,1,27,27.89080313,13.94003204,155,30.1625,2,75081.23865,3575743.991,3.58E-03,27.89080313,,152.25,11.96
9,225,406.4,N/A,N/A,50.8,285.75,355.6,16,1,27,35.6262271,19.04021796,160,30.1625,2,89910.7286,4567465.013,0.004567465,35.6262271,,158.6,16.25
10,250,431.8,N/A,N/A,50.8,311.15,381,16,1,27,38.55483488,19.04021796,160,30.1625,2,97301.7234,4942927.549,0.004942928,38.55483488,,158.6,16.25
12,300,488.95,N/A,N/A,57.15,361.95,431.8,16,1+1/8,30,52.16471884,26.21329776,180,33.3375,2,117021.6005,6687784.466,6.69E-03,52.16471884,,177.3,22.51
13,325,546.1,N/A,N/A,60.325,393.7,482.6,16,1+1/4,33,71.14073475,34.31592244,195,35.71875,2,151191.1649,9120607.02,9.12E-03,71.14073475,,189.65,29.44
14,350,571.5,N/A,N/A,60.325,419.1,508,16,1+1/4,33,75.39293668,37.10669277,195,37.30625,2,160228.1163,9665761.113,9.67E-03,75.39293668,,191.65,29.44
15,375,577.85,N/A,N/A,63.5,444.5,539.75,20,1+1/4,33,75.15147953,51.00459,205,38.1,2,151729.2137,9634805.068,9.63E-03,75.15147953,,200,37.94
16,400,628.65,N/A,N/A,66.675,482.6,565.15,20,1+1/4,33,96.02097687,55.92082018,210,38.89375,2,184632.6457,12310381.65,1.23E-02,96.02097687,,208.35,38.51
17,425,654.05,N/A,N/A,73.025,508,596.9,20,1+1/4,33,110.5115551,62.20569393,225,39.6875,2,194017.776,14168148.09,1.42E-02,110.5115551,,223.05,40.24
18,450,717.55,N/A,N/A,76.2,571.5,654.05,20,1+3/8,36,145.7470168,58.94421062,230,38.89375,2,245216.732,18685514.98,1.87E-02,145.7470168,,227.4,51.79
19,475,787.4,N/A,N/A,82.55,622.3,711.2,20,1+1/2,39,199.3376565,74.89581349,250,42.06875,2,309583.4016,25556109.8,0.02555611,199.3376565,,246.1,66.77
20,500,869.95,N/A,N/A,82.55,673.1,781.05,20,2,52,256.170482,158.9763964,275,54.76875,2,397848.207,32842369.48,3.28E-02,256.170482,,272.1,143.49
