23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb BS 10 Table R,nb BS 10 Table R,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
0+1/2,15,114.3,N/A,N/A,19.05,63.5,82.55,4,0+5/8,16,1.4976385579935,0.8596104192,75,18.25625,2,10078.99965,192004.9433325,1.920049433325E-04,1.4976385579935,,73.1,0.8596104192
0+3/4,20,114.3,N/A,N/A,19.05,63.5,82.55,4,0+5/8,16,1.4772260067435,0.8596104192,75,18.25625,2,9941.62465,189387.9495825,1.893879495825E-04,1.4772260067435,,73.1,0.71
1,25,127,N/A,N/A,22.225,76.2,95.25,4,0+5/8,16,2.1098412972,0.8994246144,85,18.25625,2,12170.64,270492.474,0.000270492474,2.1098412972,,79.45,0.77
1+1/4,32,133.35,N/A,N/A,22.225,76.2,98.425,4,0+5/8,16,2.28052050426769,0.8994246144,85,18.25625,2,13155.2046625,292374.423624063,2.92374423624063E-04,2.28052050426769,,79.45,0.77
1+1/2,40,152.4,N/A,N/A,25.4,88.9,114.3,4,0+3/4,20,3.363329023392,1.70268384,95,23.01875,2,16976.2216,431196.02864,0.00043119602864,3.363329023392,,93.8,1.41
2,50,165.1,N/A,N/A,25.4,101.6,127,8,0+5/8,16,3.850469698842,1.8784776192,90,18.25625,2,19435.03785,493649.96139,0.00049364996139,3.850469698842,,85.8,1.59
2+1/2,65,184.15,N/A,N/A,28.575,114.3,146.05,8,0+3/4,20,5.19404175600131,3.52978704,105,23.01875,2,23303.6846625,665902.789230938,6.65902789230938E-04,5.19404175600131,,100.15,3
3,80,203.2,N/A,N/A,31.75,127,165.1,8,0+3/4,20,6.78284582976,3.6542064,110,23.01875,2,27388.8384,869595.6192,0.0008695956192,6.78284582976,,106.5,3.08
3+1/2,90,228.6,N/A,N/A,31.75,139.7,184.15,8,0+7/8,24,8.58453925329,5.939212032,120,26.9875,2,34663.9986,1100581.95555,0.00110058195555,8.58453925329,,114.5,5.05
4,100,241.3,N/A,N/A,34.925,152.4,196.85,8,0+7/8,24,10.3128600529598,6.1183759104,125,26.9875,2,37857.16665,1322161.54525125,1.32216154525125E-03,10.3128600529598,,120.85,5.17
5,130,279.4,N/A,N/A,41.275,177.8,234.95,12,0+7/8,24,15.457874505957,9.7150555008,135,26.9875,2,48014.0226,1981778.782815,0.001981778782815,15.457874505957,,133.55,8.11
6,150,304.8,N/A,N/A,44.45,209.55,260.35,12,0+7/8,24,19.161408828744,9.9838013184,145,26.9875,2,55266.3864,2456590.87548,0.00245659087548,19.161408828744,,139.9,8.47
7,175,342.9,N/A,N/A,47.625,234.95,292.1,12,1,27,25.3568823298537,13.940032041,155,30.1625,2,68259.99685,3250882.34998125,3.25088234998125E-03,25.3568823298537,,152.25,11.96
8,200,368.3,N/A,N/A,50.8,260.35,323.85,12,1,27,29.750190002676,14.2801634664,160,30.1625,2,75081.23865,3814126.92342,0.00381412692342,29.750190002676,,158.6,12.19
9,225,406.4,N/A,N/A,53.975,285.75,355.6,16,1,27,37.852866294243,19.4937265224,170,30.1625,2,89910.7286,4852931.576185,0.004852931576185,37.852866294243,,164.95,16.87
10,250,431.8,N/A,N/A,57.15,311.15,387.35,16,1,27,43.374189240018,19.9472350896,175,30.1625,2,97301.7234,5560793.49231,0.00556079349231,43.374189240018,,171.3,17.18
12,300,508,N/A,N/A,63.5,368.3,457.2,16,1+1/4,33,65.345047872,34.993385856,200,35.71875,2,131930.24,8377570.24,0.00837757024,65.345047872,,196,29.9
13,325,552.45,N/A,N/A,66.675,393.7,495.3,16,1+1/4,33,81.4771075860276,35.6708492712,205,35.71875,2,156667.1619625,10445783.0238497,1.04457830238497E-02,81.4771075860276,,202.35,30.35
14,350,584.2,N/A,N/A,69.85,419.1,527.05,16,1+1/4,33,93.574480255542,36.3483126864,210,35.71875,2,171749.8674,11996728.23789,0.01199672823789,93.574480255542,,208.7,30.81
15,375,609.6,N/A,N/A,73.025,444.5,552.45,20,1+1/4,33,103.281768149157,46.282220127,220,35.71875,2,181324.9206,13241252.326815,0.013241252326815,103.281768149157,,215.05,39.66
16,400,641.35,N/A,N/A,76.2,482.6,584.2,20,1+1/4,33,117.263608741364,47.129049396,225,35.71875,2,197293.9106625,15033795.9924825,1.50337959924825E-02,117.263608741364,,221.4,40.24
17,425,673.1,N/A,N/A,82.55,508,609.6,20,1+1/4,33,137.705089825427,48.822707934,240,35.71875,2,213864.30885,17654498.6955675,1.76544986955675E-02,137.705089825427,,234.1,41.95
18,450,736.6,N/A,N/A,82.55,571.5,673.1,20,1+3/4,45,171.894454892394,108.64069515,260,47.625,2,266962.4546,22037750.62723,0.02203775062723,171.894454892394,,258.1,98.74
19,475,806.45,N/A,N/A,88.9,622.3,730.25,20,1+1/2,39,231.198871100857,77.261336568,260,42.06875,2,333418.2329625,29640880.9103663,2.96408809103663E-02,231.198871100857,,258.8,68.44
20,500,895.35,N/A,N/A,95.25,673.1,806.45,20,2,52,321.731914755054,167.38714512,300,54.76875,2,433046.5236625,41247681.3788531,4.12476813788531E-02,321.731914755054,,297.5,151.19
