23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,Bore,OD,RF Dia,Thick,Hub od Lar,Hub od sm,Hub Len,PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt,J3 Hub len 1
1+13/16,46,46.8,185,105,42.1,88.9,65.1,99.9,146,8,0+3/4,23,140,BX-151,5.56,77.77,11.84,0,9,9.9,2.8,48.4
2+1/16,52,53.2,200,111,44.1,100,74.6,106.65,158.8,8,0+3/4,23,140,BX-152,5.59,86.23,12.65,0,10.8,12.2,3.4,51.6
2+9/16,65,65.9,230,132,51.2,120.7,92.1,121.75,184.2,8,0+7/8,26,170,BX-153,6.75,102.77,14.07,0,18.1,18.6,4.59,57.2
3+1/16,78,78.6,270,152,58.4,142.1,110.3,138,215.9,8,1,29,185,BX-154,7.54,119,15.39,0,28.1,27.6,6.24,63.5
4+1/16,103,104,315,185,70.3,182.6,146.1,164.6,258.8,8,1+1/8,32,220,BX-155,8.33,150.62,17.73,0,45.3,51.7,12,73
5+1/8,130,131,360,221,79.4,223.8,182.6,186.45,300,12,1+1/8,32,235,BX-169,9.53,176.66,16.92,0,56.79,65.63,19.12,81
7+1/16,179,180.2,480,302,103.2,301.6,254,235.55,403.2,12,1+1/2,42,300,BX-156,11.11,241.83,23.39,0,140.6,174.1,44.07,95.2
9,228,229.4,550,359,123.9,374.7,327.1,266.7,476.3,16,1+1/2,42,345,BX-157,12.7,299.06,26.39,0,179,221.63,64.12,93.7
11,279,280.2,655,429,141.3,450.9,400.1,304.7,565.2,16,1+3/4,48,390,BX-158,14.29,357.23,29.18,0,342.4,453.6,100.86,103.2
13+5/8,346,346.9,770,518,168.3,552.5,495.3,357.05,673.1,20,1+7/8,51,455,BX-159,15.88,432.64,32.49,0,424.12,561.78,162.57,114.3
16+3/4,425,426.2,870,576,168.3,655.6,601.7,332.5,776,24,1+7/8,51,455,BX-162,8.33,478.33,17.91,0,520.8,689.08,195.09,76.2
