23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb,nb,Bore (B),OD,RF Dia,Thick,Hub od Lar,Hub od sm (J2),Hub Len (Calc),PCD,Bolt No,unc size,Hole Dia,studbolt length mm,Ring No,Grove Depth,Grove Diameter,Grove Wi,gap,Flg Wt  WN,Flg Wt  Bld,sb wt,J3 Hub len 1
1+13/16,46,1.84,7.38,4.12,1.66,3.5,2.56,4.18,5.75,8,0+3/4,0.88,5.5,BX-151,0.22,3.062,0.466,0,9,9.9,2.8,1.91
2+1/16,52,2.09,7.88,4.38,1.73,3.94,2.94,4.43,6.25,8,0+3/4,0.88,5.5,BX-152,0.23,3.395,0.498,0,10.8,12.2,3.4,2.03
2+9/16,65,2.59,9.12,5.19,2.02,4.75,3.62,5.03,7.25,8,0+7/8,1,6.5,BX-153,0.27,4.046,0.554,0,18.1,18.6,4.59,2.25
3+1/16,78,3.09,10.62,6,2.3,5.59,4.34,5.67,8.5,8,1,1.12,7.25,BX-154,0.3,4.685,0.606,0,28.1,27.6,6.24,2.5
4+1/16,103,4.09,12.44,7.28,2.77,7.19,5.75,6.73,10.19,8,1+1/8,1.25,8.5,BX-155,0.33,5.93,0.698,0,45.3,51.7,12,2.88
5+1/8,130,5.16,14.06,8.69,3.13,8.81,7.19,7.58,11.81,12,1+1/8,1.25,9.25,BX-169,0.38,6.955,0.666,0,56.79,65.63,19.12,3.19
7+1/16,179,7.09,18.88,11.88,4.06,11.88,10,9.51,15.88,12,1+1/2,1.62,11.75,BX-156,0.44,9.521,0.921,0,140.6,174.1,44.07,3.75
9,228,9.03,21.75,14.12,4.88,14.75,12.88,10.74,18.75,16,1+1/2,1.62,13.5,BX-157,0.5,11.774,1.039,0,179,221.63,64.12,3.69
11,279,11.03,25.75,16.88,5.56,17.75,15.75,12.23,22.25,16,1+3/4,1.88,15.25,BX-158,0.56,14.064,1.149,0,342.4,453.6,100.86,4.06
13+5/8,346,13.66,30.25,20.38,6.62,21.75,19.5,14.29,26.5,20,1+7/8,2,17.75,BX-159,0.62,17.033,1.279,0,424.12,561.78,162.57,4.5
16+3/4,425,16.78,34.31,22.69,6.62,25.81,23.69,13.32,30.56,24,1+7/8,2,17.75,BX-162,0.33,18.832,0.705,0,520.8,689.08,195.09,3
