18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1500 ANSI,-,-,-,Blind,-,-,-,-,-,-,-,-,Bolting4,-,-,Bolting4,-
Nom. Size,,Flange Size,Weight (kg)2,Weight (kg)2,A,C,D,E,F,G,X,No.,Size (ins),Length,P.C.D.,Size (mm),bolt wt
1,25,1DF15,2.7,2.6,33.4,98.4,54,19,34.9,57.2,41.3,4,0.5,80,73,14,0.38649632
1+1/2,40,11/2DF15,4.2,4.1,48.3,120.7,60.3,20.6,38.1,76.2,63.5,6,0.5,80,95.3,14,0.57974448
2,50,2DF15,5.3,5.3,60.3,133.4,60.3,22.2,38.1,76.2,76.2,6,0.5,80,108,14,0.57974448
2+1/2,65,21/2DF15,8.8,8.7,73,158.8,69.9,25.4,54,88.9,88.9,6,0.625,100,127,16,0.9465216
3,80,3DF15,11.3,11.4,88.9,174.6,73,28.6,50.8,92.1,104.8,8,0.625,100,142.9,16,1.2620288
4,100,4DF15,21.7,21.9,114.3,219.1,88.9,34.9,60.3,111.1,133.4,8,0.75,120,181,20,2.366304
5,130,5DF15,30.9,32.1,141.3,247.7,95.3,41.3,69.9,114.3,161.9,12,0.75,140,209.6,20,4.141032
6,150,6DF15,48,50.1,168.3,288.9,101.6,47.6,82.6,123.8,190.5,12,0.875,150,244.5,24,6.3890208
8,200,8DF15,84.6,90.1,219.1,355.6,120.7,57.2,101.6,161.9,241.3,16,1,180,304.8,27,12.93776712
10,250,10DF15,144,154,273.1,425.5,146.1,69.9,114.3,171.5,298.5,16,1.125,210,368.3,30,18.634644
12,300,12DF15,239,257,323.9,508,168.3,80.9,139.7,190.5,355.6,16,1.375,250,438.2,36,31.945104
14,350,14DF15,306,332,355.6,558.8,174.6,88.9,161.9,209.6,393.7,20,1.375,260,489,36,41.5286352
16,400,16DF15,477,518,406.4,649,203.2,103.2,190.5,244.5,447.7,20,1.625,290,566.7,42,63.0472122
18,450,18DF15,602,675,457.2,692.2,222.3,125.4,203.2,260.4,501.7,20,1.75,330,603.3,45,82.35847125
20,500,20DF15,846,933,508,781.1,238.1,128.6,231.8,288.9,558.8,20,2,360,679.5,52,119.9716128
24,600,24DF15,1351,1472,609.6,920.8,279.4,144.5,266.7,330.2,673.1,20,2.25,410,806.5,56,158.4634912
30,750,30DF15,2200,2486,762,1117.6,311.2,174.6,,,831.9,20,2.75,470,977.9,70,283.833235
36,900,36DF15,3463,3974,914.4,1308.1,355.6,206.3,,,990.6,22,3,550,1155.7,76,430.6771876
40,1000,40DF15,4279,5066,1016,1428.8,355.6,225.4,,,1079.5,22,3.25,600,1263.7,84,573.9470352
