49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,Qty,M Size,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,100,70,14,4,12,17.2,N/A,N/A,N/A,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,6,N/A,N/A,N/A,32,N/A,40,4,2,40,2,N/A,N/A,1.1,N/A,N/A,80,40,80,80,80,0.38,,0.38,0.38,0.38
0+1/2,15,105,75,14,4,12,21.3,N/A,N/A,N/A,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,6,N/A,N/A,N/A,34,N/A,45,4,2,45,2,N/A,N/A,1.2,N/A,N/A,80,40,80,80,80,0.38,,0.38,0.38,0.38
1,25,140,100,18,4,16,33.7,N/A,N/A,N/A,24,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,8,N/A,N/A,N/A,52,N/A,61,4,2.9,68,2,N/A,N/A,2.64,N/A,N/A,100,60,100,100,100,0.84,0.64,0.84,0.84,0.84
1+1/2,40,170,125,22,4,20,48.3,N/A,N/A,N/A,28,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,10,N/A,N/A,N/A,70,N/A,82,6,3.6,88,2,N/A,N/A,4.42,N/A,N/A,130,70,130,130,130,1.7,1.2,1.7,1.7,1.7
2,50,195,145,26,4,24,60.3,N/A,N/A,N/A,30,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,10,N/A,N/A,N/A,90,N/A,96,6,4,102,2,N/A,N/A,6.38,N/A,N/A,140,80,140,140,140,2.76,2.04,2.76,2.76,2.76
2+1/2,65,220,170,26,8,24,76.1,N/A,N/A,N/A,34,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82,12,N/A,N/A,N/A,108,N/A,118,6,5,122,3,N/A,N/A,8.75,N/A,N/A,150,80,150,150,150,5.76,4.09,5.76,5.76,5.76
3,80,230,180,26,8,24,88.9,N/A,N/A,N/A,36,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,12,N/A,N/A,N/A,120,N/A,128,8,6.3,138,3,N/A,N/A,10.3,N/A,N/A,160,80,160,160,160,6,4.09,6,6,6
4,100,265,210,30,8,27,114.3,N/A,N/A,N/A,40,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,12,N/A,N/A,N/A,150,N/A,150,8,8,162,3,N/A,N/A,15.3,N/A,N/A,170,90,170,170,170,8.43,5.97,8.43,8.43,8.43
5,125,315,250,33,8,30,139.7,N/A,N/A,N/A,44,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115,14,N/A,N/A,N/A,180,N/A,184,8,10,188,3,N/A,N/A,24.4,N/A,N/A,190,100,190,190,190,11.63,8.27,11.63,11.63,11.63
6,150,355,290,33,12,30,168.3,N/A,N/A,N/A,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128,14,N/A,N/A,N/A,210,N/A,224,10,12.5,218,3,N/A,N/A,34.4,N/A,N/A,200,100,200,200,200,18,12.4,18,18,18
8,200,430,360,36,12,33,219.1,N/A,N/A,N/A,60,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140,16,N/A,N/A,N/A,278,N/A,288,10,16,285,3,N/A,N/A,60.7,N/A,N/A,240,120,240,240,240,25.17,16.92,25.17,25.17,25.17
10,250,515,430,42,12,39,273,N/A,N/A,N/A,68,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,155,18,N/A,N/A,N/A,340,N/A,346,12,20,345,3,N/A,N/A,97.6,N/A,N/A,270,140,270,270,270,42.07,29.01,42.07,42.07,42.07
12,300,585,500,42,16,39,323.9,N/A,N/A,N/A,78,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175,18,N/A,N/A,N/A,400,N/A,414,12,22.2,410,3,N/A,N/A,140,N/A,N/A,290,140,290,290,290,58.76,38.68,58.76,58.76,58.76
