49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NB,DN,OD,PCD,Bolt Hole,Qty,M Size,Neck OD,Bore,Bore,Bore,Thk,Thk,Thk,Thk,Chamfer,Collar,Collar,Collar,Collar,Sholder,Len,Len,Len,Len,Len,Len,Neck Dia,Neck Dia,Neck Dia,Collar Rad,Wall Tk,RF Dia,RF Ht,PLT tp 1,BLND tp5,WN tp11,SO tp12,THD tp13,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt,PLT Bolt,BLN Bolt,WN Bolt,SO Bolt,THD Bolt
NB,DN,D,K,L,,,A,B1,B2,B3,C1,C2,C3,C4,E,F,F,F,F,Gmax,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,RF Dia,RF Ht,Kg,Kg,Kg,Kg,Kg,mm,mm,mm,mm,mm,Kg,Kg,Kg,Kg,Kg
0+3/8,10,75,50,11,4,10,17.2,18,21,N/A,12,12,12,12,3,10,5,2,2.5,N/A,20,28,6,28,35,7,26,25,20,4,,35,2,0.356,0.38,0.353,0.326,0.326,60,60,60,60,60,0.23,0.23,0.23,0.23,0.23
0+1/2,15,80,55,11,4,10,21.3,22,25,N/A,12,12,12,12,3,10,5,2,2.5,N/A,20,30,6,30,38,7,30,30,26,4,,40,2,0.402,0.438,0.408,0.373,0.373,60,60,60,60,60,0.23,0.23,0.23,0.23,0.23
0+3/4,20,90,65,11,4,10,26.9,27.5,31,N/A,14,14,14,14,4,10,6,2.5,3,N/A,24,32,6,32,40,8,38,40,34,4,,50,2,0.592,0.657,0.621,0.584,0.584,60,60,60,60,60,0.23,0.23,0.23,0.23,0.23
1,25,100,75,11,4,10,33.7,34.5,38,N/A,14,14,14,14,4,10,7,2.5,3,N/A,24,35,6,35,40,10,42,50,44,4,,60,2,0.719,0.821,0.762,0.729,0.729,60,60,60,60,60,0.23,0.23,0.23,0.23,0.23
1+1/4,32,120,90,14,4,12,42.4,43.5,46,N/A,14,16,16,14,5,10,8,3,3,N/A,26,35,6,35,42,12,55,60,54,6,,70,2,1.16,1.18,1.11,1.04,1.04,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
1+1/2,40,130,100,14,4,12,48.3,49.5,53,N/A,14,16,16,14,5,10,8,3,3,N/A,26,38,7,38,45,15,62,70,64,6,,80,3,1.35,1.39,1.26,1.2,1.2,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
2,50,140,110,14,4,12,60.3,61.5,65,N/A,14,16,16,14,5,12,8,3,3,N/A,28,38,8,38,45,20,74,80,74,6,,90,3,1.48,1.62,1.43,1.34,1.34,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
2+1/2,65,160,130,14,4,12,76.1,77.5,81,N/A,14,16,16,14,6,12,8,3,3,55,32,38,9,38,45,20,88,100,94,6,,110,3,1.86,2.14,1.77,1.83,1.83,70,70,70,70,70,0.35,0.35,0.35,0.35,0.35
3,80,190,150,18,4,16,88.9,90.5,94,N/A,16,18,18,16,6,12,10,3,4,70,34,42,10,42,50,25,102,110,110,8,,128,3,2.95,3.43,2.88,2.75,2.75,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
4,100,210,170,18,4,16,114.3,116,120,N/A,16,18,18,16,6,14,10,4,4,90,40,45,10,45,52,25,130,130,130,8,,148,3,3.26,4.22,3.41,3.01,3.01,90,90,90,90,90,0.79,0.79,0.79,0.79,0.79
5,125,240,200,18,8,16,139.7,141.5,145,N/A,18,20,20,18,6,14,10,4,4,115,44,48,10,48,55,25,155,160,160,8,,178,3,4.31,6.1,4.65,4.3,4.3,90,90,100,100,100,1.59,1.59,1.69,1.69,1.69
6,150,265,225,18,8,16,168.3,170.5,174,N/A,18,20,20,18,6,14,10,5,4,140,44,48,12,48,55,25,184,185,182,10,,202,3,4.76,7.51,5.5,4.63,4.63,90,90,100,100,100,1.59,1.59,1.69,1.69,1.69
8,200,320,280,18,8,16,219.1,221.5,226,N/A,20,22,22,20,6,16,11,5,5,190,44,55,15,55,62,30,236,240,238,10,,258,3,6.88,12.3,8.6,6.97,6.97,100,100,100,100,100,1.69,1.69,1.69,1.69,1.69
10,250,375,335,18,12,16,273,276.5,281,N/A,22,24,24,22,8,18,12,8,N/A,235,44,60,15,60,68,N/A,290,295,284,12,,312,3,8.92,18.5,11.7,9.13,9.13,100,100,100,100,100,2.54,2.54,2.54,2.54,2.54
12,300,440,395,22,12,20,323.9,327.5,333,N/A,22,24,24,22,8,18,12,8,N/A,285,44,62,15,62,68,N/A,342,355,342,12,,365,4,11.9,25.5,15.3,12.4,12.4,110,110,120,120,120,4.62,4.62,4.86,4.86,4.86
14,350,490,445,22,12,20,355.6,359.5,365,N/A,22,26,26,22,8,18,13,8,N/A,330,N/A,62,15,62,68,N/A,385,N/A,392,12,,415,4,16.8,31.8,20.3,N/A,N/A,110,110,120,120,120,4.62,4.62,4.86,4.86,4.86
16,400,540,495,22,16,20,406.4,411,416,N/A,22,28,28,22,8,20,14,8,N/A,380,N/A,65,15,65,72,N/A,438,N/A,442,12,,465,4,19.8,38.5,23.1,N/A,N/A,110,110,130,130,130,6.16,6.16,6.81,6.81,6.81
18,450,595,550,22,16,20,457,462,467,N/A,22,30,30,24,8,20,15,8,N/A,425,N/A,65,15,72,72,N/A,492,N/A,494,12,,520,4,24.6,51.2,27,N/A,N/A,110,120,130,130,130,6.16,6.48,6.81,6.81,6.81
20,500,645,600,22,20,20,508,513.5,519,N/A,24,30,30,24,8,22,16,8,N/A,475,N/A,68,15,75,75,N/A,538,N/A,544,12,,570,4,26.4,60.1,30.8,N/A,N/A,120,120,130,130,130,8.09,8.09,8.51,8.51,8.51
24,600,755,705,26,20,24,610,616.5,622,N/A,30,32,32,30,8,22,16,N/A,N/A,575,N/A,70,16,70,N/A,N/A,640,N/A,642,12,,670,5,34.8,103,44,N/A,N/A,140,140,150,150,150,13.82,13.82,14.41,14.41,14.41
28,700,860,810,26,24,24,711,N/A,721,N/A,40,30,30,40,4,N/A,16,N/A,N/A,670,N/A,76,16,70,N/A,N/A,740,N/A,746,12,,775,5,N/A,178,53.7,N/A,N/A,160,160,140,140,140,18.02,18.02,16.58,16.58,16.58
32,800,975,920,30,24,27,813,N/A,824,N/A,44,30,30,44,4,N/A,16,N/A,N/A,770,N/A,76,16,70,N/A,N/A,842,N/A,850,12,,880,5,N/A,252,64.4,N/A,N/A,180,180,150,150,150,26.23,26.23,23.47,23.47,23.47
36,900,1075,1020,30,24,27,914,N/A,926,N/A,48,34,34,48,4,N/A,16,N/A,N/A,860,N/A,78,16,70,N/A,N/A,942,N/A,950,12,,980,5,N/A,336,79.2,N/A,N/A,190,190,160,160,160,27.16,27.16,24.38,24.38,24.38
40,1000,1175,1120,30,28,27,1016,N/A,1028,N/A,52,38,38,52,4,N/A,18,N/A,N/A,960,N/A,82,16,70,N/A,N/A,1045,N/A,1050,16,,1080,5,N/A,435,98.6,N/A,N/A,200,200,170,170,170,32.75,32.75,29.53,29.53,29.53
48,1200,1405,1340,33,32,30,1219,N/A,1234,N/A,60,42,42,60,5,N/A,20,N/A,N/A,1160,N/A,104,20,90,N/A,N/A,1248,N/A,1264,16,,1295,5,N/A,717,152,N/A,N/A,220,220,190,190,190,51,51,46.52,46.52,46.52
56,1400,1630,1560,36,36,33,1422,N/A,N/A,N/A,72,56,56,68,N/A,N/A,N/A,N/A,N/A,1346,N/A,114,20,N/A,N/A,N/A,1452,N/A,1480,16,,1510,5,N/A,1094,246,N/A,N/A,260,250,230,230,230,79.66,77.61,73.47,73.47,73.47
64,1600,1830,1760,36,40,33,1626,N/A,N/A,N/A,80,63,63,76,N/A,N/A,N/A,N/A,N/A,1546,N/A,119,20,N/A,N/A,N/A,1655,N/A,1680,16,,1710,5,N/A,1545,309,N/A,N/A,280,270,240,240,240,93.12,90.79,83.92,83.92,83.92
72,1800,2045,1970,39,44,36,1829,N/A,N/A,N/A,88,69,69,84,N/A,N/A,N/A,N/A,N/A,1746,N/A,133,20,N/A,N/A,N/A,1855,N/A,1878,16,,1920,5,N/A,2131,400,N/A,N/A,300,290,260,260,260,135.69,132.57,123.28,123.28,123.28
80,2000,2265,2180,42,48,39,2032,N/A,N/A,N/A,96,74,74,92,N/A,N/A,N/A,N/A,N/A,1950,N/A,146,25,N/A,N/A,N/A,2058,N/A,2082,16,,2125,5,N/A,2862,516,N/A,N/A,330,320,280,280,280,192.38,188.35,172.31,172.31,172.31
88,2200,2475,2390,42,52,39,2235,N/A,N/A,N/A,N/A,81,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,25,N/A,N/A,N/A,2260,N/A,N/A,18,,2335,5,N/A,N/A,645,N/A,N/A,140,140,300,300,300,125.73,125.73,195.36,195.36,195.36
96,2400,2685,2600,42,56,39,2438,N/A,N/A,N/A,N/A,87,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,168,25,N/A,N/A,N/A,2462,N/A,N/A,18,,2545,5,N/A,N/A,786,N/A,N/A,140,140,310,310,310,135.4,135.4,215.09,215.09,215.09
104,2600,2905,2810,48,60,45,2620,N/A,N/A,N/A,N/A,91,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175,25,N/A,N/A,N/A,2665,N/A,N/A,18,,2750,5,N/A,N/A,1021,N/A,N/A,160,160,340,340,340,227.87,227.87,350.93,350.93,350.93
112,2800,3115,3020,48,64,45,2820,N/A,N/A,N/A,N/A,101,101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,188,30,N/A,N/A,N/A,2865,N/A,N/A,18,,2960,5,N/A,N/A,1256,N/A,N/A,160,160,360,360,360,243.07,243.07,388.86,388.86,388.86
