23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nom -Size,Nom -Size,Sch,O/D A,Bore B,G-Range Connection,Length L,Clearance R,M,Bolt G,Weight Kg,Bore H,O/D J,Rib K,C,D,E,F,Buttweld L2,Blind L3,Nozzle L4,G Bolt Spacing,H Bolt Spacing
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0+1/2,15,40,21.3,15.8,G1-5,92.1,66.7,58.7,1/2 inch UNC,2.02,15.9,27.8,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
0+3/4,20,40,26.7,20.9,G1-7,92.1,66.7,58.7,1/2 inch UNC,2,23,34.9,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
1,25,40,33.4,26.6,G1-11,92.1,66.7,58.7,1/2 inch UNC,1.98,28.6,44.4,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
1+1/2,40,40,48.3,41,G1+1/2-14,127,102,79.4,5/8 inch UNC,5.3,40.9,66.7,6.3,79.4,60.3,11.1,11.1,60.3,54,228.6,31.8,81
2,50,40,60.3,52.4,G2-20,146,114,89,3/4 inch UNC,7.8,52.4,82.5,6.3,92.1,73,11.1,12.7,69.8,50.8,228.6,46.1,146.1
2+1/2,65,40,73,62.7,G3-25,171.5,133.3,89,3/4 inch UNC,14.35,67.9,101.6,6.3,127,101.6,12.7,12.7,82.5,63.5,228.6,46.1,190.5
3,80,40,88.9,77.8,G3-27,171.5,133.3,89,3/4 inch UNC,13.9,77.8,107.9,6.3,127,101.6,12.7,12.7,82.5,63.5,228.6,46.1,190.5
4,100,40,114,102,G4-40,190.5,152.4,96.9,7/8 inch UNC,19,103,139.7,6.3,152.4,127,12.7,17.5,92.1,54,304.8,52.4,215.9
5,130,40,141.3,128.3,G5-52,228.6,187.3,112.7,1 inch UNC,31.82,134.9,168.3,6.3,190.5,165.1,15.9,17.5,111.1,73,304.8,58.8,260.4
6,150,40,168.3,154,G6-62,244.5,222.2,122.3,1.125 inch 8UN,50.56,154,200,9.5,234.9,196.8,19,20.6,117.5,73,304.8,61.9,320.7
8,200,40,219.1,202.7,G8-82,282.6,250.8,149.2,1.25 inch 8UN,76.6,209.6,257.2,9.5,292.1,254,19,22.2,136.5,76.2,304.8,73,387.4
10,250,40,273.1,255,G10-102,314.3,320.7,171.4,1.625 inch 8UN,148.7,260.4,304.8,9.5,346,295.3,31.7,22.2,152.4,88.9,355.6,88.9,482.6
