23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nom -Size,Nom -Size,Sch,O/D A,Bore B,G-Range Connection,Length L,Clearance R,M,Bolt G,Weight Kg,Bore H,O/D J,Rib K,C,D,E,F,Buttweld L2,Blind L3,Nozzle L4,H Bolt Spacing,G Bolt Spacing
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0+1/2,15,XXS,21.3,6.4,G1-4,92.1,66.7,58.7,1/2 inch UNC,2.14,12.7,25.4,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
0+3/4,20,XXS,26.7,11,G1-4,92.1,66.7,58.7,1/2 inch UNC,2.16,12.7,25.4,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
1,25,XXS,33.4,15.2,G1-5,92.1,66.7,58.7,1/2 inch UNC,2.16,15.9,27.8,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
1+1/2,40,XXS,48.3,27.9,G1+1/2-14,127,102,79.4,5/8 inch UNC,6.62,40.9,66.7,6.3,79.4,60.3,11.1,11.1,60.3,54,228.6,31.8,81
2,50,XXS,60.3,38.2,G2-14,146,114,89,3/4 inch UNC,8.91,40.9,66.7,6.3,92.1,73,11.1,12.7,69.8,50.8,228.6,46.1,146.1
2+1/2,65,XXS,73,45,G3-20,171.5,133.3,89,3/4 inch UNC,16.49,52.4,82.5,6.3,127,101.6,12.7,12.7,82.5,63.5,228.6,46.1,190.5
3,80,XXS,88.9,58.4,G3-23,171.5,133.3,89,3/4 inch UNC,15.2,60.3,88.9,6.3,127,101.6,12.7,12.7,82.5,63.5,228.6,46.1,190.5
4,100,XXS,114,80.1,G4-31,190.5,152.4,96.9,7/8 inch UNC,24.2,82.5,114.3,6.3,152.4,127,12.7,12.7,92.1,73,304.8,52.4,215.9
5,130,XXS,141.3,103.2,G5-40,228.6,187.3,112.7,1 inch UNC,39.12,103,139.7,6.3,190.5,165.1,15.9,17.5,111.1,88.9,304.8,58.8,260.4
6,150,XXS,168.3,124.4,G6-52,241.3,222.2,122.3,1.125 inch 8UN,60.48,134.9,168.3,6.3,234.9,196.8,20.6,17.5,117.5,88.9,304.8,61.9,320.7
8,200,XXS,219.1,174.6,G8-67,282.6,250.8,149.2,1.25 inch 8UN,90,174.6,222.2,9.5,292.1,254,19,22.2,136.5,88.9,304.8,73,387.4
