5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,95,59,57.54
0+3/4,20,115,64,63.35
1,25,125,69,68.35
1+1/4,32,135,74,73.35
1+1/2,40,155,77,76.35
2,50,165,80,80.92
2+1/2,65,190,86,86.92
3,80,210,90,90.92
3+1/2,90,230,93,93.92
4,100,255,96,96.92
5,125,280,109,109.92
6,150,320,110,110.92
8,200,380,124,124.92
10,250,445,131,131.92
12,300,520,144,144.92
14,350,585,156,156.92
16,400,650,159,159.92
18,450,710,172,172.92
20,500,775,175,177.53
22,550,N/A,N/A,N/A
24,600,915,182,186.13
26,650,970,201,206.7
28,700,1035,213,218.7
30,750,1090,226,231.7
32,800,1150,239,246.27
34,850,1205,248,255.27
36,900,1270,258,265.27
38,950,1205,213,
40,1000,1270,223,
42,1050,1320,231,
44,1100,1385,240,
46,1150,1440,251,
48,1200,1510,264,
