5,2,3,4,5
nb,nb,od,Len RF,Len RTJ
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,4.75,2.63,2.63
0+3/4,20,5.12,3,3
1,25,5.88,3.13,3.13
1+1/4,32,6.25,3.13,3.13
1+1/2,40,7,3.6,3.6
2,50,8.5,4.25,4.312
2+1/2,65,9.62,4.37,4.432
3,80,9.5,4.25,4.312
3+1/2,90,N/A,N/A,N/A
4,100,11.5,4.75,4.812
5,130,13.75,5.25,5.312
6,150,15,5.75,5.812
8,200,18.5,6.63,6.692
10,250,21.5,7.5,7.562
12,300,24,8.13,8.192
14,350,25.25,8.63,8.818
16,400,27.75,8.75,8.938
18,450,31,9.25,9.5
20,500,33.75,10,10.25
22,550,N/A,N/A,N/A
24,600,41,11.75,12.125
26,650,42.75,11.5,11.938
28,700,46,12,12.438
30,750,48.5,12.5,12.938
32,800,51.75,13.25,13.688
34,850,55,14,14.562
36,900,57.5,14.5,15.062
38,950,57.5,14.13,
40,1000,59.5,14.56,
42,1050,61.5,14.87,
44,1100,64.88,15.63,
46,1150,68.25,16.43,
48,1200,70.25,16.75,
