10,2,3,4,5,6,7,8,9,10
NPS,DN,L Closed Nipple,L Short Nipple,L min Long Nipple,L max Long Nipple,kg/m Sch40/Std,kg/m Sch80/XS,kg/m Sch160,kg/m SchXXS
0+1/8,6,19,38,50,300,0.37,0.47,0.56,0.73
0+1/4,8,22,38,50,300,0.63,0.8,0.96,1.25
0+3/8,10,25,38,50,300,0.84,1.1,1.32,1.72
0+1/2,15,29,38,50,300,1.27,1.62,1.95,2.55
0+3/4,20,35,51,65,300,1.69,2.2,2.9,3.64
1,25,38,51,65,300,2.5,3.24,4.24,5.45
1+1/4,32,41,63.5,75,300,3.39,4.47,5.61,7.77
1+1/2,40,44,63.5,75,300,4.05,5.41,7.25,9.55
2,50,51,63.5,75,300,5.44,7.48,11.11,13.44
2+1/2,65,63.5,76,90,300,8.63,11.41,14.92,20.39
3,80,67,76,90,300,11.29,15.27,21.35,27.68
3+1/2,90,70,102,115,300,13.57,18.64,26.11,34.9
4,100,73,102,115,300,16.08,22.32,33.54,41.03
5,125,76,114,125,300,21.77,30.97,49.12,57.43
6,150,79,114,125,300,28.26,42.56,67.57,79.22
