10,2,3,4,5,6,7,8,9,10
NPS,DN,L Closed Nipple,L Short Nipple,L min Long Nipple,L max Long Nipple,lb/ft Sch40/Std,lb/ft Sch80/XS,lb/ft Sch160,lb/ft SchXXS
0+1/8,6,0.75,1.5,2,12,0.24,0.31,0,0
0+1/4,8,0.875,1.5,2,12,0.42,0.53,0,0
0+3/8,10,1,1.5,2,12,0.56,0.73,0,0
0+1/2,15,1.125,1.5,2,12,0.85,1.08,1.31,1.71
0+3/4,20,1.375,2,2.5,12,1.13,1.47,1.94,2.44
1,25,1.5,2,2.5,12,1.67,2.17,2.84,3.66
1+1/4,32,1.625,2.5,3,12,2.27,3,3.76,5.22
1+1/2,40,1.75,2.5,3,12,2.72,3.63,4.87,6.41
2,50,2,2.5,3,12,3.65,5.02,7.46,9.03
2+1/2,65,2.5,3,3.5,12,5.79,7.66,10.02,13.7
3,80,2.625,3,3.5,12,7.58,10.26,14.34,18.6
3+1/2,90,2.75,4,4.5,12,9.11,12.52,0,0
4,100,2.875,4,4.5,12,10.8,14.99,22.53,27.57
5,125,3,4.5,5,12,14.62,20.81,33,38.59
6,150,3.125,4.5,5,12,18.98,28.59,45.4,53.23
