6,2,3,4,5,6
45 deg E L NB,NB,OD,radius,45 ctr to end,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,20.6375,38.1,16,0.15
0+3/4,20,26.9875,29.36875,19,0.17
1,25,33.3375,38.1,22,0.19
1+1/4,32,42.06875,47.625,25,0.3
1+1/2,40,47.625,57.15,29,0.45
2,50,60.325,76.2,35,0.84
2+1/2,65,73.025,95.25,44,1.6
3,80,88.9,114.3,51,2.6
3+1/2,90,102.39375,133.35,57,N/A
4,100,114.3,151.60625,64,5.2
5,125,141.2875,189.70625,79,9.08
6,150,168.275,229.39375,95,15
8,200,219.075,304.8,127,27
10,250,273.05,381,159,48.5
12,300,323.85,457.2,190,70.8
