9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,wt,OverCap-E1,WT KG
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,N/A,25,N/A,3.73,25,0.03
0+3/4,20,27,N/A,25,N/A,3.91,25,0.06
1,25,33,N/A,38,N/A,4.55,38,0.1
1+1/4,32,42,N/A,38,N/A,4.85,38,0.14
1+1/2,40,48,N/A,38,N/A,5.08,38,0.2
2,50,60,N/A,38,N/A,5.54,44,0.3
2+1/2,65,73,N/A,38,N/A,7.01,51,0.5
3,80,89,N/A,51,N/A,7.62,64,0.7
3+1/2,90,102,N/A,64,N/A,8.08,76,1.4
4,100,114,N/A,64,N/A,8.56,76,1.6
5,125,141,N/A,76,N/A,9.53,89,2.3
6,150,168,N/A,89,N/A,10.97,102,3.6
8,200,219,N/A,102,N/A,12.7,127,5.5
10,250,273,N/A,127,N/A,12.7,152,10
12,300,324,N/A,152,N/A,12.7,178,19
14,350,356,N/A,165,N/A,12.7,191,23
16,400,406,N/A,178,N/A,12.7,203,30
18,450,457,N/A,203,N/A,12.7,229,39
20,500,508,N/A,229,N/A,12.7,254,66.7
22,550,559,N/A,254,N/A,12.7,254,79.85
24,600,610,N/A,267,N/A,12.7,305,93
26,650,660,N/A,267,N/A,12.7,N/A,46.5
28,700,711,N/A,267,N/A,12.7,N/A,56
30,750,762,N/A,267,N/A,12.7,N/A,62
