9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,wt,OverCap-E1,WT KG
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,N/A,1,N/A,0.18,1,0.5
0+3/4,20,27,N/A,1,N/A,0.15,1,0.1
1,25,33,N/A,1.5,N/A,0.18,1.5,0.13
1+1/4,32,42,N/A,1.5,N/A,0.19,1.5,0.2
1+1/2,40,48,N/A,1.5,N/A,0.2,1.5,0.23
2,50,60,N/A,1.5,N/A,0.22,1.75,0.3
2+1/2,65,73,N/A,1.5,N/A,0.28,2,0.5
3,80,89,N/A,2,N/A,0.3,2.5,0.9
3+1/2,90,102,N/A,2.5,N/A,0.32,3,1.7
4,100,114,N/A,2.5,N/A,0.34,3,2
5,125,141,N/A,3,N/A,0.38,3.5,3
6,150,168,N/A,3.5,N/A,0.43,4,4
8,200,219,N/A,4,N/A,0.5,5,8.4
10,250,273,N/A,5,N/A,0.5,6,13.6
12,300,324,N/A,6,N/A,0.5,7,22
14,350,356,N/A,6.5,N/A,0.5,7.5,27
16,400,406,N/A,7,N/A,0.5,8,30
18,450,457,N/A,8,N/A,0.5,9,32
20,500,508,N/A,9,N/A,0.5,10,49
22,550,559,N/A,10,N/A,0.5,10,51
24,600,610,N/A,10.5,N/A,0.5,12,60
26,650,660,N/A,10.5,N/A,N/A,N/A,66
28,700,711,N/A,10.5,N/A,N/A,N/A,75
30,750,762,N/A,10.5,N/A,N/A,N/A,83
32,800,813,N/A,10.5,N/A,N/A,N/A,93
34,850,864,N/A,10.5,N/A,N/A,N/A,97
36,900,914,N/A,10.5,N/A,N/A,N/A,107
38,950,965,N/A,12,N/A,N/A,N/A,125
40,1000,1016,N/A,12,N/A,N/A,N/A,129
42,1050,1067,N/A,12,N/A,N/A,N/A,136.5
44,1100,1118,N/A,13.5,N/A,N/A,N/A,168
46,1150,1168,N/A,13.5,N/A,N/A,N/A,186
48,1200,1210,N/A,13.5,N/A,N/A,N/A,215
