10,2,3,4,5,6,7,8,9,10
nb,nb,do,,,Stub len,OD,od min,od max,r
0+1/4,8,X,,,X,X,X,X,X
0+3/8,10,X,,,X,X,X,X,X
0+1/2,15,21,,,76.2,34.925,21.43125,21.43125,3.175
0+3/4,20,27,,,76.2,49.2125,26.9875,26.9875,3.175
1,25,33,,,101.6,50.8,34.13125,34.13125,3.175
1+1/4,32,42,,,101.6,63.5,42.8625,42.8625,4.7625
1+1/2,40,48,,,101.6,73.025,48.41875,48.41875,6.35
2,50,60,,,152.4,92.075,60.325,60.325,7.9375
2+1/2,65,73,,,152.4,104.775,76.2,76.2,7.9375
3,80,89,,,152.4,127,88.9,88.9,10.31875
3+1/2,90,102,,,152.4,139.7,101.6,101.6,10.31875
4,100,114,,,152.4,157.1625,114.3,114.3,11.90625
5,125,141,,,203.2,185.7375,139.7,139.7,11.90625
6,150,168,,,203.2,215.9,165.1,165.1,12.7
8,200,219,,,203.2,269.875,219.075,219.075,12.7
10,250,273,,,254,323.85,273.05,273.05,12.7
12,300,324,,,254,381,323.85,323.85,12.7
14,350,356,,,304.8,412.75,355.6,355.6,12.7
16,400,406,,,304.8,469.9,406.4,406.4,12.7
18,450,457,,,304.8,533.4,457.2,457.2,12.7
20,500,508,,,304.8,584.2,508,508,12.7
22,550,559,,,304.8,641.35,558.8,558.8,12.7
24,600,610,,,304.8,692.15,609.6,609.6,12.7
