5,2,3,4,5
NB,NB,OD,,Ctr to End
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A
1,25,33.3375,0,25.4
1+1/4,32,42.06875,0,31.75
1+1/2,40,47.625,0,38.1
2,50,60.325,0,50.8
2+1/2,65,73.025,0,63.5
3,80,88.9,0,76.2
3+1/2,90,102.39375,0,88.9
4,100,114.3,0,101.6
5,125,141.2875,0,127
6,150,168.275,0,152.4
8,200,219.075,0,203.2
10,250,273.05,0,254
12,300,323.85,0,304.8
14,350,356.39375,0,355.6
16,400,405.60625,0,406.4
18,450,457.2,0,457.2
20,500,508,0,508
22,550,558.8,0,N/A
24,600,610.39375,0,609.6
