6,2,3,4,5,6
NB,NB,OD,flat to back,Ctr to End,total
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21.43125,48.41875,38.1,76.2
0+3/4,20,26.9875,42.06875,28.575,57.15
1,25,34.13125,55.5625,38.1,76.2
1+1/4,32,42.8625,69.05625,47.625,95.25
1+1/2,40,48.41875,81.75625,57.15,114.3
2,50,60.325,106.3625,76.2,152.4
2+1/2,65,76.2,133.35,95.25,190.5
3,80,88.9,158.75,114.3,228.6
3+1/2,90,101.6,184.15,133.35,266.7
4,100,114.3,209.55,152.4,304.8
5,125,139.7,260.35,190.5,381
6,150,165.1,311.15,228.6,457.2
8,200,219.075,414.3375,304.8,609.6
10,250,273.05,517.525,381,762
12,300,323.85,619.125,457.2,914.4
14,350,355.6,711.2,533.4,1066.8
16,400,406.4,812.8,609.6,1219.2
18,450,457.2,914.4,685.8,1371.6
20,500,508,1016,762,1524
22,550,558.8,1117.6,838.2,1676.4
24,600,609.6,1219.2,914.4,1828.8
