6,2,3,4,5,6
NB,NB,OD,flat to back,Ctr to End,total
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A
1,25,34.13125,42.8625,25.4,50.8
1+1/4,32,42.8625,53.18125,31.75,63.5
1+1/2,40,48.41875,61.9125,38.1,76.2
2,50,60.325,80.9625,50.8,101.6
2+1/2,65,76.2,101.6,63.5,127
3,80,88.9,120.65,76.2,152.4
3+1/2,90,101.6,139.7,88.9,177.8
4,100,114.3,158.75,101.6,203.2
5,125,139.7,196.85,127,254
6,150,165.1,234.95,152.4,304.8
8,200,219.075,312.7375,203.2,406.4
10,250,273.05,390.525,254,508
12,300,323.85,466.725,304.8,609.6
14,350,355.6,533.4,355.6,711.2
16,400,406.4,609.6,406.4,812.8
18,450,457.2,685.8,457.2,914.4
20,500,508,762,508,1016
22,550,558.8,838.2,558.8,1117.6
24,600,609.6,914.4,609.6,1219.2
