5,2,3,4,5
nb,nb,od,,Ctr to E
0+1/4,8,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A
0+1/2,15,21,1,25.4
0+3/4,20,27,1,28.575
1,25,33,1,38.1
1+1/4,32,42,1,47.625
1+1/2,40,48,1,57.15
2,50,60,1,63.5
2+1/2,65,73,1,76.2
3,80,89,1,85.725
3+1/2,90,102,1,95.25
4,100,114,1,104.775
5,125,141,1,123.825
6,150,168,1,142.875
8,200,219,1,177.8
10,250,273,1,215.9
12,300,324,1,254
14,350,356,1,279.4
16,400,406,1,304.8
18,450,457,1,342.9
20,500,508,1,381
22,550,559,1,419.1
24,600,610,1,431.8
26,650,660,1,495.3
28,700,711,1,520.7
30,750,762,1,558.8
32,800,813,1,596.9
34,850,854,1,635
36,900,914,1,673.1
38,950,N/A,N/A,N/A
40,1000,1016,1,749.3
42,1050,1067,1,711.2
44,1100,N/A,N/A,N/A
46,1150,N/A,N/A,N/A
48,1200,1219,1,838.2
