8,2,3,4,5,6,7,8
nb,nb,od,,Over Cap-E,,wt,OverCap-E1
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,,25.4,0,3.96875,25.4
0+3/4,20,27,,25.4,0,3.96875,25.4
1,25,33,,38.1,0,4.7625,38.1
1+1/4,32,42,,38.1,0,4.7625,38.1
1+1/2,40,48,,38.1,0,4.7625,38.1
2,50,60,,38.1,0,5.55625,44.45
2+1/2,65,73,,38.1,0,7.14375,50.8
3,80,89,,50.8,0,7.9375,63.5
3+1/2,90,102,,63.5,0,7.9375,76.2
4,100,114,,63.5,0,8.73125,76.2
5,125,141,,76.2,0,9.525,88.9
6,150,168,,88.9,0,10.31875,101.6
8,200,219,,101.6,0,12.7,127
10,250,273,,127,0,12.7,152.4
12,300,324,,152.4,0,12.7,177.8
14,350,356,,165.1,0,12.7,190.5
16,400,406,,177.8,0,12.7,203.2
18,450,457,,203.2,0,12.7,228.6
20,500,508,,228.6,0,12.7,254
22,550,559,,254,0,12.7,254
24,600,610,,266.7,0,12.7,304.8
26,650,660,,266.7,0,12.7,N/A
28,700,711,,266.7,0,12.7,N/A
30,750,762,,266.7,0,12.7,N/A
32,800,813,,266.7,0,12.7,N/A
34,850,864,,266.7,0,12.7,N/A
36,900,914,,266.7,0,12.7,N/A
38,N/A,N/A,,N/A,0,12.7,N/A
40,1000,1016,,304.8,0,12.7,N/A
42,1050,1067,,304.8,0,12.7,N/A
44,1100,N/A,,N/A,0,12.7,N/A
46,1150,N/A,,N/A,0,12.7,N/A
48,1200,1210,,342.9,0,12.7,N/A
