7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21.43125,48,38,76,N/A
0+3/4,20,26.9875,51,38,76,N/A
1,25,34.13125,56,38,76,0.69
1+1/4,32,42.8625,70,47.5,95,1.22
1+1/2,40,48.41875,83,57,114,1.8
2,50,60.325,106,76,152,3.4
2+1/2,65,76.2,132,95,190,6.4
3,80,88.9,159,114.5,229,10.35
3+1/2,90,101.6,184,133.5,267,N/A
4,100,114.3,210,152.5,305,20.6
5,125,139.7,262,190.5,381,36.23
6,150,165.1,313,228.5,457,59.5
8,200,219.075,414,305,610,109
10,250,273.05,518,381,762,194
12,300,323.85,619,457,914,280
