7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21.43125,1.88,1.5,3,0.2
0+3/4,20,26.9875,2,1.5,3,0.32
1,25,34.13125,2.19,1.5,3,0.65
1+1/4,32,42.8625,2.75,1.875,3.75,1.1
1+1/2,40,48.41875,3.25,2.25,4.5,1.4
2,50,60.325,4.19,3,6,2.8
2+1/2,65,76.2,5.19,3.75,7.5,4.4
3,80,88.9,6.25,4.5,9,7.8
3+1/2,90,101.6,7.25,5.25,10.5,10
4,100,114.3,8.25,6,12,15.5
5,125,139.7,10.31,7.5,15,19.5
6,150,165.1,12.31,9,18,32.5
8,200,219.075,16.31,12,24,66
10,250,273.05,20.38,15,30,103
12,300,323.85,24.38,18,36,160
