7,2,3,4,5,6,7
NB,NB,OD,flat to back,Ctr to End,total,wt
0+1/4,8,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A
1,25,34.13125,1.62,1,2,0.2
1+1/4,32,42.8625,2.06,1.25,2.5,0.35
1+1/2,40,48.41875,2.44,1.5,3,0.45
2,50,60.325,3.19,2,4,0.75
2+1/2,65,76.2,3.94,2.5,5,1.25
3,80,88.9,4.75,3,6,2
3+1/2,90,101.6,5.5,3.5,7,2.75
4,100,114.3,6.25,4,8,3.5
5,125,139.7,7.75,5,10,5.6
6,150,165.1,9.31,6,12,8.3
8,200,219.075,12.31,8,16,16
10,250,273.05,15.38,10,20,32
12,300,323.85,18.38,12,24,36
14,350,355.6,21,14,28,47
16,400,406.4,24,16,32,62
18,450,457.2,27,18,36,78
20,500,508,30,20,40,130
22,550,558.8,33,22,44,N/A
24,600,609.6,36,24,48,185
