6,2,3,4,5,6
nb,nb,od,Ctr to E,M,wt kg
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21,25,25,0.1
0+3/4,20,27,29,29,0.13
1,25,33,38,38,0.28
1+1/4,32,42,48,48,0.5
1+1/2,40,48,57,57,0.7
2,50,60,64,64,0.85
2+1/2,65,73,76,76,1.4
3,80,89,86,86,1.8
3+1/2,90,102,95,95,2.7
4,100,114,105,105,3.5
5,125,141,124,124,6.1
6,150,168,143,143,8.1
8,200,219,178,178,15.6
10,250,273,216,216,27
12,300,324,254,254,40
14,350,356,279,279,48
16,400,406,305,305,59
18,450,457,343,343,77
20,500,508,381,381,103
22,550,559,419,419,N/A
24,600,610,432,432,155
