6,2,3,4,5,6
nb,nb,od,Ctr to E,M,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21,25,25,0.25
0+3/4,20,27,29,29,0.27
1,25,33,38,38,0.35
1+1/4,32,42,48,48,0.65
1+1/2,40,48,57,57,0.96
2,50,60,64,64,1.9
2+1/2,65,73,76,76,3.07
3,80,89,86,86,4.5
3+1/2,90,102,95,95,6.17
4,100,114,105,105,8.44
5,125,141,124,124,12.94
6,150,168,143,143,19.3
8,200,219,178,178,34.5
10,250,273,216,216,68
12,300,324,254,254,115
14,350,356,279,279,165
16,400,406,305,305,249
18,450,457,343,343,322
20,500,508,381,381,459
22,550,559,419,419,600
24,600,610,432,432,748
