6,2,3,4,5,6
nb,nb,od,Ctr to E,M,wt
0+1/4,8,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A
0+1/2,15,21,25,25,0.25
0+3/4,20,27,29,29,0.27
1,25,33,38,38,0.35
1+1/4,32,42,48,48,0.65
1+1/2,40,48,57,57,0.96
2,50,60,64,64,1.9
2+1/2,65,73,76,76,3.07
3,80,89,86,86,4.5
3+1/2,90,102,95,95,6.17
4,100,114,105,105,8.44
5,125,141,124,124,12.94
6,150,168,143,143,19.3
8,200,219,178,178,34.5
10,250,273,216,216,58.57
12,300,324,254,254,84.9
14,350,356,279,279,127.12
16,400,406,305,305,167.52
18,450,457,343,343,190
20,500,508,381,381,245
22,550,559,419,419,280
24,600,610,432,432,350
26,650,660,495,495,360.5
28,700,711,521,521,421
30,750,762,559,559,483.5
32,800,813,597,597,559
34,850,854,635,635,645
36,900,914,673,673,731
38,950,965,711,711,812
40,1000,1016,749,749,894
42,1050,1067,762,711,1043
44,1100,1118,813,762,1194
46,1150,1168,851,800,1346
48,1200,1219,889,838,1498.5
