15,2,3,4,5,6,7,8,9,10,11,12,13,14,15
nb,nb,od,X,Stub len sht,Stub len lg,OD,od min,od max,radius,wt short,wt long,Min,Short Pattern,Long Pattern (Standard)
0+1/4,8,N/A,N/A,X,X,X,X,X,X,N/A,N/A,Min,Short Pattern,Long Pattern (Standard)
0+3/8,10,N/A,N/A,X,X,X,X,X,X,N/A,N/A,Min,Short Pattern,Long Pattern (Standard)
0+1/2,15,0.84,N/A,2,3,1.38,20.5,22.8,0.12,0.05,0.08,Min,Short Pattern,Long Pattern (Standard)
0+3/4,20,1.05,N/A,2,3,1.69,25.9,28.1,0.12,0.06,0.1,Min,Short Pattern,Long Pattern (Standard)
1,25,1.32,N/A,2,4,2,32.6,35,0.12,0.1,0.16,Min,Short Pattern,Long Pattern (Standard)
1+1/4,32,1.66,N/A,2,4,2.5,41.4,43.6,0.19,0.15,0.23,Min,Short Pattern,Long Pattern (Standard)
1+1/2,40,1.9,N/A,2,4,2.88,47.5,49.9,0.25,0.18,0.28,Min,Short Pattern,Long Pattern (Standard)
2,50,2.38,N/A,2.5,6,3.62,59.5,62.4,0.31,0.31,0.47,Min,Short Pattern,Long Pattern (Standard)
2+1/2,65,2.88,N/A,2.5,6,4.12,72.2,75.3,0.31,0.49,0.75,Min,Short Pattern,Long Pattern (Standard)
3,80,3.5,N/A,2.5,6,5,88.1,91.3,0.38,0.66,1,Min,Short Pattern,Long Pattern (Standard)
3+1/2,90,4,N/A,3,6,5.5,100.8,104,0.38,0.92,1.4,Min,Short Pattern,Long Pattern (Standard)
4,100,4.5,N/A,3,6,6.19,113.5,116.7,0.44,1.12,1.7,Min,Short Pattern,Long Pattern (Standard)
5,125,5.56,N/A,3,8,7.31,140.5,144.3,0.44,1.51,2.3,Min,Short Pattern,Long Pattern (Standard)
6,150,6.63,N/A,3.5,8,8.5,167.5,171.3,0.5,2.24,3.4,Min,Short Pattern,Long Pattern (Standard)
8,200,8.63,N/A,4,8,10.62,218.3,222.1,0.5,3.76,5.7,Min,Short Pattern,Long Pattern (Standard)
10,250,10.75,N/A,5,10,12.75,272.3,277.2,0.5,6.33,9.6,Min,Short Pattern,Long Pattern (Standard)
12,300,12.75,N/A,6,10,15,323.1,328,0.5,9.1,13.8,Min,Short Pattern,Long Pattern (Standard)
14,350,14,N/A,6,12,16.25,354.8,359.9,0.5,5.08,7.7,Min,Short Pattern,Long Pattern (Standard)
16,400,16,N/A,6,12,18.5,405.6,411,0.5,5.94,9,Min,Short Pattern,Long Pattern (Standard)
18,450,18,N/A,6,12,21,456,462,0.5,6.93,10.5,Min,Short Pattern,Long Pattern (Standard)
20,500,20,N/A,6,12,23,507,514,0.5,8.91,13.5,Min,Short Pattern,Long Pattern (Standard)
22,550,22,N/A,6,12,25.25,558,565,0.5,11,15,Min,Short Pattern,Long Pattern (Standard)
24,600,24,N/A,6,12,27.25,609,616,0.5,12.47,18.9,Min,Short Pattern,Long Pattern (Standard)
