17,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
nb,nb,dia,Kg,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,3,0,LowLimit,HighLimit
0+1/8,6,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
0+1/4,8,N/A,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
0+3/8,10,22,0.054,42,0,0,0,0,0,0,0,0,0,0,4,4
0+1/2,15,28,0.105,49,49,0,0,0,0,0,0,0,0,0,4,5
0+3/4,20,35,0.16,0,0,59,0,0,0,0,0,0,0,0,6,6
1,25,45,0.32,60,61,61,63,0,0,0,0,0,0,0,4,7
1+1/4,32,60,0.49,0,0,0,0,68,0,0,0,0,0,0,8,8
1+1/2,40,65,0.67,0,0,72,67,72,0,0,0,0,0,0,6,8
2,50,76,0.95,0,0,70,75,75,0,0,0,0,0,0,6,8
2+1/2,65,95,2.15,0,0,0,0,0,0,0,92,0,0,0,11,11
3,80,110,2.7,0,0,0,0,0,0,0,95,0,0,0,11,11
4,100,140,5.02,0,0,0,0,0,0,0,100,113,113,0,11,13
