6,2,3,4,5,6
Screw Thread Details nb,Screw Thread Details nb,Length of Perfect Internal Thread B,Length of Useful Internal Thread L2,External Thread Length A,Thread Engaugement
0+1/8,6,6.35,6.35,9.53,7.14
0+1/4,8,7.94,10.32,11.11,10.32
0+3/8,10,8.73,10.32,12.7,10.32
0+1/2,15,11.11,13.49,14.29,13.49
0+3/4,20,12.7,14.29,15.88,14.29
1,25,14.29,17.46,19.05,16.67
1+1/4,32,16.67,18.26,20.64,17.46
1+1/2,40,18.26,18.26,20.64,17.46
2,50,19.05,19.05,22.23,17.46
2+1/2,65,23.81,29.37,26.99,23.81
3,80,26.19,30.16,28.58,26.19
4,100,27.78,33.34,31.75,27.78
