6,2,3,4,5,6
Screw Thread Details nb,Screw Thread Details nb,Length of Perfect Internal Thread B,Length of Useful Internal Thread L2,External Thread Length A,Thread Engaugement
0+1/8,6,0.25,0.26,0.38,0.28
0+1/4,8,0.32,0.4,0.44,0.41
0+3/8,10,0.36,0.4,0.5,0.41
0+1/2,15,0.43,0.53,0.56,0.53
0+3/4,20,0.5,0.54,0.62,0.56
1,25,0.58,0.68,0.75,0.66
1+1/4,32,0.67,0.7,0.81,0.69
1+1/2,40,0.7,0.72,0.81,0.69
2,50,0.75,0.75,0.88,0.69
2+1/2,65,0.93,1.14,1.06,0.94
3,80,1.02,1.2,1.12,1.03
4,100,1.09,1.3,1.25,1.09
