8,2,3,4,5,6,7,8
NB,DN,A,H,G,B,L2,WT
0+1/8,6,0.97,1,0.25,0.25,0.2639,0.22
0+1/4,8,1.12,1.31,0.26,0.32,0.4018,0.38
0+3/8,10,1.31,1.5,0.275,0.36,0.4078,0.63
0+1/2,15,1.5,1.81,0.321,0.43,0.5337,0.97
0+3/4,20,1.75,2.19,0.336,0.5,0.5457,1.61
1,25,2,2.44,0.391,0.58,0.6828,2.09
1+1/4,32,2.38,2.97,0.417,0.67,0.7068,3.45
1+1/2,40,2.5,3.31,0.436,0.7,0.7235,4.36
2,50,3.25,4,0.476,0.75,0.7565,8.39
2+1/2,65,3.75,4.75,0.602,0.93,1.138,12.72
3,80,4.19,5.75,0.655,1.02,1.2,21.54
4,100,4.5,6,0.735,1.09,1.3,22.67
