8,2,3,4,5,6,7,8
NB,DN,A,H,G,B,L2,WT
0+1/8,6,0.69,0.88,0.125,0.25,0.2639,0.11
0+1/4,8,0.75,1,0.13,0.32,0.4018,0.13
0+3/8,10,0.88,1.31,0.138,0.36,0.4078,0.22
0+1/2,15,1,1.5,0.161,0.43,0.5337,0.34
0+3/4,20,1.12,1.81,0.17,0.5,0.5457,0.53
1,25,1.31,2.19,0.196,0.58,0.6828,0.9
1+1/4,32,1.38,2.44,0.208,0.67,0.7068,1.01
1+1/2,40,1.69,2.97,0.219,0.7,0.7235,1.36
2,50,1.72,3.31,0.281,0.75,0.7565,2.23
2+1/2,65,2.06,4,0.301,0.93,1.138,3.34
3,80,2.5,4.75,0.348,1.02,1.2,6.16
4,100,3.12,6,0.44,1.09,1.3,8.64
