32,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
nb,nb,M,Kg,N/A,N/A,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21.6,0.15,5,5,N/A,N/A,11.11,0,0,0,0,0,0,0,30.16,0,0,0,0,0,0,0,20.64,0,0,0,0,0,0,0
0+3/4,20,26.9,0.18,6,6,N/A,N/A,0,11.91,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0,23.02,0,0,0,0,0,0
1,25,33.6,0.22,7,7,N/A,N/A,0,11.91,15.88,0,0,0,0,0,0,39.69,42.07,0,0,0,0,0,0,23.81,26.19,0,0,0,0,0
1+1/4,32,42.4,0.4,8,8,N/A,N/A,0,0,15.88,20.64,0,0,0,0,0,0,42.86,42.86,0,0,0,0,0,0,27.78,27.78,0,0,0,0
1+1/2,40,48.5,0.55,9,9,N/A,N/A,0,0,0,20.64,29.37,0,0,0,0,0,0,49.21,50.8,0,0,0,0,0,0,27.78,31.75,0,0,0
2,50,60.9,0.9,8,9,N/A,N/A,0,0,0,0,29.37,34.13,0,0,0,0,0,0,47.63,46.04,0,0,0,0,0,0,34.13,34.13,0,0
2+1/2,65,73.6,1.4,11,11,N/A,N/A,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,53.98,0,0,0,0,0,0,0,35.72,0
3,80,89.6,2.5,12,12,N/A,N/A,0,0,0,0,0,0,0,53.98,0,0,0,0,0,0,0,63.5,0,0,0,0,0,0,0,38.1
