26,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
nb,nb,M,K,L,Kg,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,0.1,N/A,N/A,11.11,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
0+1/2,15,21.43,4,5,0.15,N/A,N/A,11.11,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
0+3/4,20,26.99,5,6,0.18,N/A,N/A,11.91,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
1,25,33.34,6,7,0.22,N/A,N/A,12.7,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
1+1/4,32,42.07,8,8,0.4,N/A,N/A,14.29,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
1+1/2,40,48.42,8,9,0.55,N/A,N/A,15.08,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
2,50,61.12,10,10,0.9,N/A,N/A,15.88,11.91,15.88,20.64,29.37,34.13,0,0,0,0,25.4,31.75,34.93,38.1,39.69,43.66,N/A,N/A
