40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
nb,nb,M,Kg,1/8(N),0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,1/8(K),0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,1/8(L),0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,Lower Limit,Higher Limit,For Data,For Data,For Data,Spare
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+1/4,8,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+3/8,10,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+1/2,15,21.43,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+3/4,20,26.99,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
1,25,33.34,0.22,N/A,N/A,11.11,11.11,11.11,0,0,0,0,0,0,0,28.58,28.58,28.58,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,0,5,5,7,7,7,7
1+1/4,32,42.07,0.4,N/A,N/A,11.11,11.11,11.11,11.11,0,0,0,0,0,0,32.54,32.54,32.54,32.54,0,0,0,0,0,0,7.14,7.14,7.14,7.14,0,0,0,0,5,8,7,7,7,7
1+1/2,40,48.42,0.55,N/A,N/A,0,11.91,11.91,11.91,11.91,0,0,0,0,0,0,38.89,38.89,38.89,38.89,0,0,0,0,0,0,7.14,7.14,7.14,7.14,0,0,0,6,9,7,7,7,7
2,50,61.12,0.9,N/A,N/A,0,11.91,15.88,20.64,20.64,20.64,0,0,0,0,0,38.89,35.72,35.72,35.72,35.72,0,0,0,0,0,7.14,7.94,7.94,7.94,7.94,0,0,6,10,7,7,7,7
2+1/2,65,73.82,1.4,N/A,N/A,0,11.91,15.88,20.64,29.37,29.37,29.37,0,0,0,0,46.83,43.66,43.66,42.07,42.07,42.07,0,0,0,0,7.14,7.94,7.94,7.94,7.94,7.94,0,6,11,7,7,7,7
3,80,89.69,2.5,N/A,N/A,0,0,0,20.64,29.37,34.13,34.13,34.13,0,0,0,0,0,48.42,49.21,47.63,47.63,47.63,0,0,0,0,0,7.94,7.94,7.94,7.94,7.94,8,12,7,7,7,7
