"7","2","3","4","5","6","7"
"NB  Socket Details","NB  Socket Details","B-Socket ID","D-Bore","C-Diagonal Thicknes","G-Thickness","J-Socket Depth"
"0+1/8","6","11.1125","7.9375","3.175","2.38125","10"
"0+1/4","8","14.2875","10.31875","3.175","3.175","10"
"0+3/8","10","18.25625","13.49375","3.175","3.175","10"
"0+1/2","15","22.225","16.66875","3.96875","3.96875","10"
"0+3/4","20","27.78125","21.43125","3.96875","3.96875","13"
"1","25","34.13125","27.78125","4.7625","4.7625","13"
"1+1/4","32","42.8625","35.71875","5.55625","4.7625","13"
"1+1/2","40","49.2125","42.06875","5.55625","4.7625","13"
"2","50","61.9125","53.18125","6.35","5.55625","16"
"2+1/2","65","74.6125","64.29375","7.9375","7.14375","16"
"3","80","90.4875","79.375","7.9375","7.9375","16"
"4","100","115.8875","103.98125","9.525","8.73125","19"
