"5","2","3","4","5"
"nb","nb","A","P","kg"
"0+1/8","6","15.875","18.25625","N/A"
"0+1/4","8","15.875","22.225","0.035"
"0+3/8","10","15.875","26.19375","0.045"
"0+1/2","15","17.4625","31.75","0.065"
"0+3/4","20","22.225","38.1","0.125"
"1","25","24.60625","45.24375","0.21"
"1+1/4","32","26.19375","54.76875","0.37"
"1+1/2","40","27.78125","60.325","0.6"
"2","50","34.13125","74.6125","1.03"
"2+1/2","65","37.30625","95.25","1.5"
"3","80","39.6875","110.33125","2.3"
"4","100","45.24375","139.7","4"
