"8","2","3","4","5","6","7","8"
"NB","DN","A","H","G","B","L2","WT"
"0+1/8","6","11.2","3.96","...","...","9.5","0.10"
"0+1/4","8","14.6","4.6","...","...","9.5","0.16"
"0+3/8","10","18","5.03","...","...","9.5","0.30"
"0+1/2","15","22.2","5.97","8.18","7.47","9.5","0.43"
"0+3/4","20","27.6","6.96","8.56","7.82","12.5","0.64"
"1","25","34.3","7.92","9.96","9.09","12.5","1.12"
"1+1/4","32","43.1","7.92","10.62","9.7","12.5","1.38"
"1+1/2","40","49.2","8.92","11.12","10.15","12.5","2.64"
"2","50","61.7","10.92","12.12","11.07","16","3.70"
"2+1/2","65","74.4","...","...","...","16","5.84"
"3","80","90.3","...","...","...","16","8.00"
"4","100","115.7","...","...","...","19","13.50"
