13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,CtrToEnd,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,0.44,0.44,0.125,0.299,0.38,0.095,0.38,0.25,0.62,0.19,0.04
0+1/4,8,0.44,0.575,0.149,0.394,0.38,0.119,0.38,0.25,0.62,0.19,0.06
0+3/8,10,0.53,0.71,0.158,0.523,0.38,0.126,0.38,0.25,0.69,0.19,0.09
0+1/2,15,0.62,0.875,0.184,0.652,0.38,0.147,0.38,0.38,0.88,0.25,0.15
0+3/4,20,0.75,1.085,0.193,0.854,0.5,0.154,0.5,0.38,0.94,0.25,0.24
1,25,0.88,1.35,0.224,1.079,0.5,0.179,0.5,0.5,1.12,0.38,0.38
1+1/4,32,1.06,1.695,0.239,1.41,0.5,0.191,0.5,0.5,1.19,0.38,0.6
1+1/2,40,1.25,1.935,0.25,1.64,0.5,0.2,0.5,0.5,1.25,0.44,0.96
2,50,1.5,2.426,0.273,2.097,0.62,0.218,0.62,0.75,1.62,0.5,1.54
2+1/2,65,1.62,2.931,0.345,2.529,0.62,0.276,0.62,0.75,1.69,0.62,2.46
3,80,2.25,3.56,0.375,3.128,0.62,0.3,0.62,0.75,1.75,0.75,3.93
4,100,2.62,4.57,0.421,4.086,0.75,0.337,0.75,0.75,1.88,0.88,6.29
