13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,Ctr To End,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,11,11.2,3.18,7.6,9.5,2.41,9.5,6.5,16,4.8,0.04
0+1/4,8,11,14.6,3.78,10,9.5,3.02,9.5,6.5,16,4.8,0.06
0+3/8,10,13.5,18,4.01,13.3,9.5,3.2,9.5,6.5,17.5,4.8,0.09
0+1/2,15,15.5,22.2,4.67,16.6,9.5,3.73,9.5,9.5,22.5,6.4,0.15
0+3/4,20,19,27.6,4.9,21.7,12.5,3.91,12.5,9.5,24,6.4,0.24
1,25,22.5,34.3,5.69,27.4,12.5,4.55,12.5,12.5,28.5,9.6,0.38
1+1/4,32,27,43.1,6.07,35.8,12.5,4.85,12.5,12.5,30,9.6,0.6
1+1/2,40,32,49.2,6.35,41.6,12.5,5.08,12.5,12.5,32,11.2,0.96
2,50,38,61.7,6.93,53.3,16,5.54,16,19,41,12.7,1.54
2+1/2,65,41,74.4,8.76,64.2,16,7.01,16,19,43,15.7,2.46
3,80,57,90.3,9.52,79.4,16,7.62,16,19,44.5,19,3.93
4,100,66.5,115.7,10.69,103.8,19,8.56,19,19,48,22.4,6.29
