13,2,3,4,5,6,7,8,9,10,11,12,13
NB,DN,CtrToEnd,SocketDia,Socket Thk,Bore,Socket Depth,Wall Thk,45degEll_CtoE,CplgLen,HalfCplgLen,CapEndWallThk,Kg
0+1/8,6,0.44,0.44,0.156,0.189,0.38,0.124,0.31,0.25,0.62,0.25,0.04
0+1/4,8,0.53,0.575,0.181,0.28,0.38,0.145,0.31,0.25,0.62,0.25,0.08
0+3/8,10,0.62,0.71,0.198,0.389,0.38,0.158,0.44,0.25,0.69,0.25,0.12
0+1/2,15,0.75,0.875,0.235,0.494,0.38,0.188,0.5,0.38,0.88,0.31,0.2
0+3/4,20,0.88,1.085,0.274,0.642,0.5,0.219,0.56,0.38,0.94,0.31,0.32
1,25,1.06,1.35,0.312,0.845,0.5,0.25,0.69,0.5,1.12,0.44,0.51
1+1/4,32,1.25,1.695,0.312,1.19,0.5,0.25,0.81,0.5,1.19,0.44,0.81
1+1/2,40,1.5,1.935,0.351,1.368,0.5,0.281,1,0.5,1.25,0.5,1.29
2,50,1.62,2.426,0.43,1.717,0.62,0.344,1.12,0.75,1.62,0.62,2.08
2+1/2,65,N/A,2.931,N/A,N/A,0.62,N/A,N/A,0.75,1.69,0.75,N/A
3,80,N/A,3.56,N/A,N/A,0.62,N/A,N/A,0.75,1.75,0.88,N/A
4,100,N/A,4.57,N/A,N/A,0.75,N/A,N/A,0.75,1.88,1.12,N/A
