18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
nb,nb,spare,ID,spare,spare,OD_150#,OD_300#,OD_400#,OD_600#,OD_900#,spare,spare,150# wt,300# wt,400# wt,600# wt,900# wt
0+1/2,15,0,21,0,0,48,54,54,54,64,0,0,0.005,0.007,0.007,0.007,0.01
0+3/4,20,0,27,0,0,57,67,67,67,70,0,0,0.008,0.011,0.011,0.011,0.012
1,25,0,33,0,0,67,73,73,73,79,0,0,0.01,0.013,0.013,0.013,0.015
1+1/4,32,0,42,0,0,76,83,83,83,89,0,0,0.012,0.015,0.015,0.015,0.018
1+1/2,40,0,48,0,0,86,95,95,95,98,0,0,0.015,0.02,0.02,0.02,0.022
2,50,0,60,0,0,105,111,111,111,143,0,0,0.029,0.021,0.021,0.021,0.044
2+1/2,65,0,73,0,0,124,130,130,130,165,0,0,0.029,0.035,0.035,0.035,0.065
3,80,0,89,0,0,137,149,149,149,168,0,0,0.031,0.043,0.043,0.043,0.061
3+1/2,90,0,102,0,0,162,165,162,162,180,0,0,0.047,0.05,0.047,0.047,0.071
4,100,0,114,0,0,175,181,178,194,206,0,0,0.051,0.058,0.054,0.072,0.088
5,125,0,141,0,0,197,216,213,241,248,0,0,0.055,0.078,0.074,0.114,0.122
6,150,0,168,0,0,222,251,248,267,289,0,0,0.063,0.102,0.097,0.126,0.022
8,200,0,219,0,0,279,308,305,321,359,0,0,0.088,0.138,0.133,0.162,0.239
10,250,0,273,1,0,340,362,359,400,435,0,0,0.12,0.167,0.16,0.255,0.34
12,300,0,324,0,0,410,422,419,457,498,0,0,0.186,0.219,0.211,0.311,0.426
14,350,0,356,0,0,451,486,483,492,521,0,0,0.225,0.323,0.314,0.344,0.427
16,400,0,406,0,0,514,540,537,565,575,0,0,0.298,0.376,0.366,0.462,0.492
18,450,0,457,0,0,549,597,594,613,638,0,0,0.276,0.436,0.425,0.494,0.591
20,500,0,508,0,0,606,654,648,683,699,0,0,0.324,0.506,0.479,0.617,0.682
24,600,0,610,0,0,718,775,768,791,838,0,0,0.421,0.675,0.65,0.749,0.984
