18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
nb,nb,spare,ID,spare,spare,OD_150#,OD_300#,OD_400#,OD_600#,OD_900#,spare,spare,150# wt,300# wt,400# wt,600# wt,900# wt
0+1/2,15,,0.84,0,0,1.88,2.12,2.12,2.12,2.5,0,0,0.005,0.007,0.007,0.007,0.01
0+3/4,20,,1.06,0,0,2.25,2.62,2.62,2.62,2.75,0,0,0.008,0.011,0.011,0.011,0.012
1,25,,1.31,0,0,2.62,2.88,2.88,2.88,3.12,0,0,0.01,0.013,0.013,0.013,0.015
1+1/4,32,,1.66,0,0,3,3.25,3.25,3.25,3.5,0,0,0.012,0.015,0.015,0.015,0.018
1+1/2,40,,1.91,0,0,3.38,3.75,3.75,3.75,3.88,0,0,0.015,0.02,0.02,0.02,0.022
2,50,,2.38,0,0,4.12,4.38,4.38,4.38,5.62,0,0,0.029,0.021,0.021,0.021,0.044
2+1/2,65,,2.88,0,0,4.88,5.12,5.12,5.12,6.5,0,0,0.029,0.035,0.035,0.035,0.065
3,80,,3.5,0,0,5.38,5.88,5.88,5.88,6.62,0,0,0.031,0.043,0.043,0.043,0.061
3+1/2,90,,4,0,0,6.38,6.5,6.38,6.38,N/A,0,0,0.047,0.05,0.047,0.047,N/A
4,100,,4.5,0,0,6.88,7.12,7,7.62,8.12,0,0,0.051,0.058,0.054,0.072,0.088
5,125,,5.56,0,0,7.75,8.5,8.38,9.5,9.75,0,0,0.055,0.078,0.074,0.114,0.122
6,150,,6.62,0,0,8.75,9.88,9.75,10.5,11.38,0,0,0.063,0.102,0.097,0.126,0.022
8,200,,0.62,0,0,11,12.12,12,12.62,14.12,0,0,0.088,0.138,0.133,0.162,0.239
10,250,,10.75,0,0,13.38,14.25,14.12,15.75,17.12,0,0,0.12,0.167,0.16,0.255,0.34
12,300,,12.75,0,0,16.13,16.62,16.5,18,19.62,0,0,0.186,0.219,0.211,0.311,0.426
14,350,,14,0,0,17.75,19.12,19,19.38,20.5,0,0,0.225,0.323,0.314,0.344,0.427
16,400,,16,0,0,20.25,21.25,21.12,22.25,22.62,0,0,0.298,0.376,0.366,0.462,0.492
18,450,,18,0,0,21.62,23.5,23.38,24.12,25.12,0,0,0.276,0.436,0.425,0.494,0.591
20,500,,20,0,0,23.88,25.75,25.5,26.88,27.5,0,0,0.324,0.506,0.479,0.617,0.682
24,600,,24,0,0,28.25,30.5,30.25,31.12,33,0,0,0.421,0.675,0.65,0.749,0.984
