17,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
nb,nb,spare,ID,spare,spare,OD_150#,OD_300#,OD_400#,OD_600#,spare,spare,spare,150#wtkg,300#wtkg,400#wtkg,600#wtkg
26,650,,26,,,30.5,32.88,32.75,34.12,,,,0.47,0.591,0.638,0.852
28,700,,28,,,32.75,35.38,35.12,36,,,,0.532,0.708,0.752,0.919
30,750,,30,,,34.75,37.5,37.25,38.25,,,,0.567,0.755,0.813,1.009
32,800,,32,,,37,39.62,39.5,40.25,,,,0.637,0.801,0.883,1.065
34,850,,34,,,39,41.62,41.5,42.25,,,,0.67,0.867,0.949,1.147
36,900,,36,,,41.25,44,44,44.5,,,,0.755,0.974,1.077,1.26
38,950,,38,,,43.75,41.5,42.26,43.5,,,,0.878,0.511,0.667,0.908
40,1000,,40,,,45.75,43.88,44.58,45.5,,,,0.921,0.594,0.717,0.949
42,1050,,42,,,48,45.88,46.38,48,,,,1.01,0.628,0.756,1.091
44,1100,,44,,,50.25,48,48.5,50,,,,1.098,0.663,0.808,1.134
46,1150,,46,,,52.25,50.12,50.75,52.26,,,,1.156,0.739,0.898,1.238
48,1200,,48,,,54.5,52.12,53,54.75,,,,1.249,0.757,0.973,1.393
50,1250,,50,,,56.5,54.25,55.25,57,,,,1.292,0.814,1.108,1.544
52,1300,,52,,,58.75,56.25,57.26,59,,,,1.389,0.845,1.137,1.608
54,1350,,54,,,61,58.75,59.75,61.25,,,,1.499,0.975,1.293,1.725
56,1400,,56,,,63.25,60.75,61.75,63.5,,,,1.625,1.03,1.339,1.84
58,1450,,58,,,65.5,62.75,63.75,65.5,,,,1.735,1.059,1.399,1.902
60,1500,,60,,,67.5,64.75,66.25,67.75,,,,1.792,1.094,1.564,2.159
