17,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
nb,nb,spare,ID,spare,spare,OD_150#,OD_300#,OD_400#,OD_600#,spare,spare,spare,150#wtkg,300#wtkg,400#wtkg,600#wtkg
26,650,,660,,,725,772,746,765,,,,0.47,0.591,0.638,0.852
28,700,,711,,,776,826,800,819,,,,0.532,0.708,0.752,0.919
30,750,,762,,,827,886,857,879,,,,0.567,0.755,0.813,1.009
32,800,,813,,,881,940,911,933,,,,0.637,0.801,0.883,1.065
34,850,,864,,,935,994,962,997,,,,0.67,0.867,0.949,1.147
36,900,,914,,,987,1048,1022,1048,,,,0.755,0.974,1.077,1.26
38,950,,965,,,1045,1099,N/A,N/A,,,,0.878,0.511,N/A,N/A
40,1000,,1016,,,1095,1149,N/A,N/A,,,,0.921,0.594,N/A,N/A
42,1050,,1067,,,1146,1200,N/A,N/A,,,,1.01,0.628,N/A,N/A
44,1100,,1118,,,1197,1251,N/A,N/A,,,,1.098,0.663,N/A,N/A
46,1150,,1168,,,1256,1318,N/A,N/A,,,,1.156,0.739,N/A,N/A
48,1200,,1219,,,1307,1368,N/A,N/A,,,,1.249,0.757,N/A,N/A
50,1250,,1270,,,1357,1419,N/A,N/A,,,,1.292,0.814,N/A,N/A
52,1300,,1321,,,1408,1470,N/A,N/A,,,,1.389,0.845,N/A,N/A
54,1350,,1372,,,1464,1530,N/A,N/A,,,,1.499,0.975,N/A,N/A
56,1400,,1422,,,1514,1594,N/A,N/A,,,,1.625,1.03,N/A,N/A
58,1450,,1473,,,1580,1656,N/A,N/A,,,,1.735,1.059,N/A,N/A
60,1500,,1524,,,1630,1705,N/A,N/A,,,,1.792,1.094,N/A,N/A
