9,2,3,4,5,6,7,8,9
no,no,pitch dia,width,height oval,height oct,oct width,r1,wtkg
R-11,R-11,1.344,0.25,0.44,0.38,0.17,0.06,0.028
R-12,R-12,1.563,0.313,0.56,0.5,0.206,0.06,0.038
R-13,R-13,1.688,0.313,0.56,0.5,0.206,0.06,0.045
R-14,R-14,1.75,0.313,0.56,0.5,0.206,0.06,0.048
R-15,R-15,1.875,0.313,0.56,0.5,0.206,0.06,0.055
R-16,R-16,2,0.313,0.56,0.5,0.206,0.06,0.063
R-17,R-17,2.25,0.313,0.56,0.5,0.206,0.06,0.079
R-18,R-18,2.375,0.313,0.56,0.5,0.206,0.06,0.089
R-19,R-19,2.563,0.313,0.56,0.5,0.206,0.06,0.103
R-20,R-20,2.688,0.313,0.56,0.5,0.206,0.06,0.114
R-21,R-21,2.844,0.438,0.69,0.63,0.305,0.06,0.127
R-22,R-22,3.25,0.313,0.56,0.5,0.206,0.06,0.166
R-23,R-23,3.25,0.438,0.69,0.63,0.305,0.06,0.166
R-24,R-24,3.75,0.438,0.69,0.63,0.305,0.06,0.222
R-25,R-25,4,0.313,0.56,0.5,0.206,0.06,0.252
R-26,R-26,4,0.438,0.69,0.63,0.305,0.06,0.252
R-27,R-27,4.25,0.438,0.69,0.63,0.305,0.06,0.285
R-28,R-28,4.375,0.5,0.75,0.69,0.341,0.06,0.302
R-29,R-29,4.5,0.313,0.56,0.5,0.206,0.06,0.319
R-30,R-30,4.625,0.438,0.69,0.63,0.305,0.06,0.338
R-31,R-31,4.875,0.438,0.69,0.63,0.305,0.06,0.375
R-32,R-32,5,0.5,0.75,0.69,0.341,0.06,0.395
R-33,R-33,5.188,0.313,0.56,0.5,0.206,0.06,0.425
R-34,R-34,5.188,0.438,0.69,0.63,0.305,0.06,0.425
R-35,R-35,5.375,0.438,0.69,0.63,0.305,0.06,0.456
R-36,R-36,5.875,0.313,0.56,0.5,0.206,0.06,0.545
R-37,R-37,5.875,0.438,0.69,0.63,0.305,0.06,0.545
R-38,R-38,6.188,0.625,0.88,0.81,0.413,0.06,0.605
R-39,R-39,6.375,0.438,0.69,0.63,0.305,0.06,0.642
R-40,R-40,6.75,0.313,0.56,0.5,0.206,0.06,0.719
R-41,R-41,7.125,0.438,0.69,0.63,0.305,0.06,0.802
R-42,R-42,7.5,0.75,1,0.94,0.485,0.06,0.888
R-43,R-43,7.625,0.313,0.56,0.5,0.206,0.06,0.918
R-44,R-44,7.625,0.438,0.69,0.63,0.305,0.06,0.918
R-45,R-45,8.313,0.438,0.69,0.63,0.305,0.06,1.091
R-46,R-46,8.313,0.5,0.75,0.69,0.341,0.06,1.091
R-47,R-47,9,0.75,1,0.94,0.485,0.06,1.279
R-48,R-48,9.75,0.313,0.56,0.5,0.206,0.06,1.502
R-49,R-49,10.625,0.438,0.69,0.63,0.305,0.06,1.783
R-50,R-50,10.625,0.625,0.88,0.81,0.413,0.06,1.783
R-51,R-51,11,0.875,1.13,1.06,0.583,0.06,1.911
R-52,R-52,12,0.313,0.56,0.5,0.206,0.06,2.275
R-53,R-53,12.75,0.438,0.69,0.63,0.305,0.06,2.568
R-54,R-54,12.75,0.625,0.88,0.81,0.413,0.06,2.568
R-55,R-55,13.5,1.125,1.44,1.38,0.78,0.09,2.879
R-56,R-56,15,0.313,0.56,0.5,0.206,0.06,3.555
R-57,R-57,15,0.438,0.69,0.63,0.305,0.06,3.555
R-58,R-58,15,0.875,1.13,1.06,0.583,0.06,3.555
R-59,R-59,15.625,0.313,0.56,0.5,0.206,0.06,3.857
R-60,R-60,16,1.25,1.56,1.5,0.879,0.09,4.045
R-61,R-61,16.5,0.438,0.69,0.63,0.305,0.06,4.301
R-62,R-62,16.5,0.625,0.88,0.81,0.413,0.06,4.301
R-63,R-63,16.5,1,1.31,1.25,0.681,0.09,4.301
R-64,R-64,17.875,0.313,0.56,0.5,0.206,0.06,5.048
R-65,R-65,18.5,0.438,0.69,0.63,0.305,0.06,5.407
R-66,R-66,18.5,0.625,0.88,0.81,0.413,0.06,5.407
R-67,R-67,18.5,1.125,1.44,1.38,0.78,0.09,5.407
R-68,R-68,20.375,0.313,0.56,0.5,0.206,0.06,6.559
R-69,R-69,21,0.438,0.69,0.63,0.305,0.06,6.968
R-70,R-70,21,0.75,1,0.94,0.485,0.06,6.968
R-71,R-71,21,1.125,1.44,1.38,0.78,0.09,6.968
R-72,R-72,22,0.313,0.56,0.5,0.206,0.06,7.647
R-73,R-73,23,0.5,0.75,0.69,0.341,0.06,8.358
R-74,R-74,23,0.75,1,0.94,0.485,0.06,8.358
R-75,R-75,23,1.25,1.56,1.5,0.879,0.09,8.358
R-76,R-76,26.5,0.313,0.56,0.5,0.206,0.06,11.096
R-77,R-77,27.25,0.625,0.88,0.81,0.413,0.06,11.733
R-78,R-78,27.25,1,1.31,1.25,0.681,0.09,11.733
R-79,R-79,27.25,1.375,1.75,1.63,0.977,0.09,11.733
R-80,R-80,24.25,0.313,N/A,0.5,0.206,0.06,9.292
R-81,R-81,25,0.563,N/A,0.75,0.377,0.06,9.875
R-82,R-82,2.25,0.438,N/A,0.63,0.305,0.06,0.079
R-84,R-84,2.5,0.438,N/A,0.63,0.305,0.06,0.098
R-85,R-85,3.125,0.5,N/A,0.69,0.341,0.06,0.154
R-86,R-86,3.563,0.625,N/A,0.81,0.413,0.06,0.2
R-87,R-87,3.938,0.625,N/A,0.81,0.413,0.06,0.245
R-88,R-88,4.875,0.75,N/A,0.94,0.485,0.06,0.375
R-89,R-89,4.5,0.75,N/A,0.94,0.485,0.06,0.319
R-90,R-90,6.125,0.875,N/A,1.06,0.583,0.06,0.592
R-91,R-91,10.25,1.25,N/A,1.5,0.879,0.09,1.66
