40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
nb,nb,id 150,id 300,id 400,id 600,id 900,id 1500,id 2500,landing id 150,landing id 300,landing id 400,landing id 600,landing id 900,landing id 1500,landing id 2500,landing od 150-600,landing od 900-2500,od 150,od 300,od 400,od 600,od 900,od 1500,od 2500,150#wtkg,300#wtkg,400#wtkg,600#wtkg,900#wtkg,1500#wtkg,2500#wtkg,thk,spare,spare,spare,spare,spare,spare,spare
0+1/2,15,14.2,14.2,14.2,14.2,14.2,14.2,14.2,19.1,19.1,19.1,19.1,19.1,19.1,19.1,31.8,31.8,47.8,54.1,54.1,54.1,63.5,63.5,69.9,0.025,0.033,0.033,0.033,0.047,0.047,0.057,3.3,spare,spare,spare,spare,spare,spare,spare
0+3/4,20,20.6,20.6,20.6,20.6,20.6,20.6,20.6,25.4,25.4,25.4,25.4,25.4,25.4,25.4,39.6,39.6,57.2,66.8,66.8,66.8,69.9,69.9,76.2,0.035,0.049,0.049,0.049,0.055,0.055,0.066,3.3,spare,spare,spare,spare,spare,spare,spare
1,25,26.9,26.9,26.9,26.9,26.9,26.9,26.9,31.8,31.8,31.8,31.8,31.8,31.8,31.8,47.8,47.8,66.8,73.2,73.2,73.2,79.5,79.5,85.9,0.047,0.057,0.057,0.057,0.069,0.069,0.082,3.3,spare,spare,spare,spare,spare,spare,spare
1+1/4,32,38.1,38.1,38.1,38.1,33.3,33.3,33.3,47.8,47.8,47.8,47.8,39.6,39.6,39.6,60.5,60.5,76.2,82.6,82.6,82.6,88.9,88.9,104.9,0.053,0.066,0.066,0.066,0.083,0.083,0.121,3.3,spare,spare,spare,spare,spare,spare,spare
1+1/2,40,44.5,44.5,44.5,44.5,41.4,41.4,41.4,54.1,54.1,54.1,54.1,47.8,47.8,47.8,69.9,69.9,85.9,95.3,95.3,95.3,98.6,98.6,117.6,0.066,0.087,0.087,0.087,0.098,0.098,0.148,3.3,spare,spare,spare,spare,spare,spare,spare
2,50,55.6,55.6,55.6,55.6,52.3,52.3,52.3,69.9,69.9,69.9,69.9,58.7,58.7,58.7,85.9,85.9,104.9,111.3,111.3,111.3,143,143,146.1,0.097,0.113,0.113,0.113,0.216,0.216,0.228,3.3,spare,spare,spare,spare,spare,spare,spare
2+1/2,65,66.5,66.5,66.5,66.5,63.5,63.5,63.5,82.6,82.6,82.6,82.6,69.9,69.9,69.9,98.6,98.6,124,130.3,130.3,130.3,165.1,165.1,168.4,0.133,0.153,0.153,0.153,0.284,0.284,0.297,3.3,spare,spare,spare,spare,spare,spare,spare
3,80,81,81,81,81,78.7,78.7,78.7,101.6,101.6,101.6,101.6,95.3,92.2,92.2,120.7,120.7,136.7,149.4,149.4,149.4,168.4,174.8,196.9,0.148,0.192,0.192,0.192,0.266,0.293,0.394,3.3,spare,spare,spare,spare,spare,spare,spare
4,100,106.4,106.4,102.6,102.6,102.6,97.8,97.8,127,127,120.7,120.7,120.7,117.6,117.6,149.4,149.4,174.8,181.1,177.8,193.8,206.5,209.6,235,0.235,0.263,0.249,0.321,0.383,0.399,0.537,3.3,spare,spare,spare,spare,spare,spare,spare
5,125,131.8,131.8,128.3,128.3,128.3,124.5,124.5,155.7,155.7,147.6,147.6,147.6,143,143,177.8,177.8,196.9,215.9,212.9,241.3,247.7,254,279.4,0.262,0.358,0.342,0.5,0.538,0.577,0.743,3.3,spare,spare,spare,spare,spare,spare,spare
