40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
nb,nb,id 150,id 300,id 400,id 600,id 900,id 1500,id 2500,landing id 150,landing id 300,landing id 400,landing id 600,landing id 900,landing id 1500,landing id 2500,landing od 150-600,landing od 900-2500,od 150,od 300,od 400,od 600,od 900,od 1500,od 2500,150#wtkg,300#wtkg,400#wtkg,600#wtkg,900#wtkg,1500#wtkg,2500#wtkg,thk,spare,spare,spare,spare,spare,spare,spare
0+1/2,15,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.25,1.25,1.88,2.13,2.13,2.13,2.5,2.5,2.75,0.025,0.033,0.033,0.033,0.047,0.047,0.057,0.13,spare,spare,spare,spare,spare,spare,spare
0+3/4,20,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1,1,1,1,1,1,1,1.56,1.56,2.25,2.63,2.63,2.63,2.75,2.75,3,0.035,0.049,0.049,0.049,0.055,0.055,0.066,0.13,spare,spare,spare,spare,spare,spare,spare
1,25,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.88,1.88,2.63,2.88,2.88,2.88,3.13,3.13,3.38,0.047,0.057,0.057,0.057,0.069,0.069,0.082,0.13,spare,spare,spare,spare,spare,spare,spare
1+1/4,32,1.5,1.5,1.5,1.5,1.31,1.31,1.31,1.88,1.88,1.88,1.88,1.56,1.56,1.56,2.38,2.38,3,3.25,3.25,3.25,3.5,3.5,4.13,0.053,0.066,0.066,0.066,0.083,0.083,0.121,0.13,spare,spare,spare,spare,spare,spare,spare
1+1/2,40,1.75,1.75,1.75,1.75,1.63,1.63,1.63,2.13,2.13,2.13,2.13,1.88,1.88,1.88,2.75,2.75,3.38,3.75,3.75,3.75,3.88,3.88,4.63,0.066,0.087,0.087,0.087,0.098,0.098,0.148,0.13,spare,spare,spare,spare,spare,spare,spare
2,50,2.19,2.19,2.19,2.19,2.06,2.06,2.06,2.75,2.75,2.75,2.75,2.31,2.31,2.31,3.38,3.38,4.13,4.38,4.38,4.38,5.63,5.63,5.75,0.097,0.113,0.113,0.113,0.216,0.216,0.228,0.13,spare,spare,spare,spare,spare,spare,spare
2+1/2,65,2.62,2.62,2.62,2.62,2.5,2.5,2.5,3.25,3.25,3.25,3.25,2.75,2.75,2.75,3.88,3.88,4.88,5.13,5.13,5.13,6.5,6.5,6.63,0.133,0.153,0.153,0.153,0.284,0.284,0.297,0.13,spare,spare,spare,spare,spare,spare,spare
3,80,3.19,3.19,3.19,3.19,3.1,3.1,3.1,4,4,4,4,3.63,3.63,3.63,4.75,4.75,5.38,5.88,5.88,5.88,6.63,6.88,7.75,0.148,0.192,0.192,0.192,0.266,0.293,0.394,0.13,spare,spare,spare,spare,spare,spare,spare
4,100,4.19,4.19,4.04,4.04,4.04,3.85,3.85,5,5,4.75,4.75,4.75,4.63,4.63,5.88,5.88,6.88,7.13,7,7.63,8.13,8.25,9.25,0.235,0.263,0.249,0.321,0.383,0.399,0.537,0.13,spare,spare,spare,spare,spare,spare,spare
5,125,5.19,5.19,5.05,5.05,5.05,4.9,4.9,6.13,6.13,5.81,5.81,5.81,5.63,5.63,7,7,7.75,8.5,8.38,9.5,9.75,10,11,0.262,0.358,0.342,0.5,0.538,0.577,0.743,0.13,spare,spare,spare,spare,spare,spare,spare
